fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Kaye Furo,Kaye Furo,Belgian Pro League,0.74,2025-26,Club Brugge,FW,5.0,1.0,0.0,0.0,0.0,4.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.7474,0.0,0.1,,1,FWD,Brentford,4.5
Anan Khalaili,Anan Khalaili,Belgian Pro League,0.74,2025-26,Union SG,MF,38.0,3.0,5.0,0.0,0.0,1.11,0.09,0.15,7.0,0.0,0.0,0.0,0.0,2.2199999999999998,3.7,0.06659999999999999,0.111,1.0,,1,DEF,Crystal Palace,5.0
Adrián Palacios,César Palacios,La Liga,0.92,2025-26,Genk,DF,10.0,0.0,1.0,0.0,0.0,0.81,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.3772,0.1,,1,MID,Fulham,5.5
Kjell Scherpen,Kjell Scherpen,Belgian Pro League,0.74,2025-26,Union SG,GK,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,58.0,74.7,0.0,0.0,0.0,0.0,1.0,,1,GK,Ipswich Town,4.5
Chuba Akpom,Chuba Akpom,Eredivisie,0.75,2023-24,Ajax,"FW,MF",25.0,11.0,3.0,0.0,0.0,3.52,0.94,0.26,0.0,0.0,0.0,0.0,0.0,8.25,2.25,0.705,0.195,0.5,,1,FWD,Ipswich Town,5.0
Sadik Fofana,Malick Fofana,Ligue 1,0.82,2023-24,Fortuna Sittard,DF,11.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,MID,Sunderland,5.5
Kayne van Oevelen,Kayne van Oevelen,Keuken Kampioen Divisie,1.0,2023-24,Volendam,GK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0,1.0,,1,GK,Ipswich Town,4.5
Gerónimo Rulli,Gerónimo Rulli,Eredivisie,0.75,2023-24,Ajax,GK,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,62.1,0.0,0.0,0.0,0.0,1.0,,1,GK,Man City,5.0
Ibrahim Sangaré,Ibrahim Osman,Eredivisie,0.75,2023-24,PSV,MF,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.375,1.0,,1,MID,Brighton,5.0
Quinten Timber,Quinten Timber,Ligue 1,0.82,2023-24,Feyenoord,MF,31.0,7.0,9.0,0.0,0.0,2.13,0.24,0.3,4.0,0.0,0.0,0.0,0.0,5.739999999999999,7.38,0.19679999999999997,0.24599999999999997,1.0,,1,MID,Crystal Palace,5.0
