team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength
Arsenal,2019-20,41,3,0,True,Norwich,1,1,0,3,1.8,1.0,0.6,4.0,12.0,1.0,1.0,1.6666666666666667,1.0,1.5333333333333334,1.4,0.7272727272727274,0.7
Arsenal,2019-20,42,1,0,False,Wolves,1,1,0,3,1.8,1.0,0.6,4.0,12.0,1.6666666666666667,1.0,1.75,1.0,1.4375,1.4,0.75,0.6666666666666667
Arsenal,2019-20,43,1,1,True,Leicester,0,0,1,1,1.4,0.6,0.8,4.0,12.0,1.6666666666666667,0.0,1.75,1.0,1.4375,1.3125,0.5384615384615384,0.9166666666666667
Arsenal,2019-20,44,1,2,False,Spurs,0,0,0,0,1.4,0.8,0.6,3.0,10.0,1.6666666666666667,0.3333333333333333,1.7058823529411764,1.0,1.411764705882353,1.3125,0.4666666666666666,0.8888888888888888
Arsenal,2019-20,45,2,1,True,Liverpool,0,1,0,3,1.4,0.6,0.6,3.0,10.0,1.0,1.0,1.7058823529411764,1.0,1.411764705882353,1.3529411764705883,0.39999999999999997,0.9090909090909092
Arsenal,2019-20,46,0,1,False,Aston Villa,0,0,0,0,1.6,0.8,0.4,3.0,10.0,1.3333333333333333,1.3333333333333333,1.7222222222222223,1.0,1.3888888888888888,1.3529411764705883,0.5000000000000001,0.8181818181818181
Arsenal,2019-20,47,3,2,True,Watford,0,1,0,3,1.0,1.0,0.2,2.0,7.0,1.0,1.3333333333333333,1.7222222222222223,0.9444444444444444,1.3888888888888888,1.3333333333333333,0.30769230769230776,0.7
Arsenal,2020-21,1,3,0,False,Fulham,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Arsenal,2020-21,2,1,1,True,West Ham,0,0,1,1,3.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.75,1.0
Arsenal,2020-21,3,1,3,False,Liverpool,0,0,0,0,2.0,0.5,0.5,1.0,4.0,2.0,0.5,1.0,3.0,1.0,0.0,0.5714285714285714,0.875
Arsenal,2020-21,4,2,1,True,Sheffield Utd,0,1,0,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,4.0,1.6666666666666667,1.3333333333333333,1.0,2.0,1.0,1.5,0.5,0.6363636363636364
Arsenal,2020-21,5,0,1,False,Man City,0,0,0,0,1.75,1.25,0.25,2.0,7.0,1.3333333333333333,1.6666666666666667,1.5,2.0,1.0,1.5,0.43902439024390244,0.8055555555555556
Arsenal,2020-21,6,0,1,True,Leicester,0,0,0,0,1.4,1.2,0.2,2.0,7.0,1.0,1.6666666666666667,1.5,1.3333333333333333,1.0,1.3333333333333333,0.4285714285714286,0.72
Arsenal,2020-21,7,1,0,False,Man Utd,1,1,0,3,0.8,1.4,0.0,1.0,4.0,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,0.14285714285714285,0.7142857142857144
Arsenal,2020-21,8,0,3,True,Aston Villa,0,0,0,0,0.8,1.2,0.2,2.0,6.0,0.3333333333333333,0.6666666666666666,1.0,1.25,1.0,1.0,0.23076923076923084,0.8571428571428572
Arsenal,2020-21,9,0,0,False,Leeds,1,0,1,1,0.6,1.2,0.2,2.0,6.0,0.3333333333333333,1.3333333333333333,0.75,1.25,1.5,1.0,0.15384615384615385,0.6000000000000001
Arsenal,2020-21,10,1,2,True,Wolves,0,0,0,0,0.2,1.0,0.4,1.0,4.0,0.3333333333333333,1.0,0.75,1.0,1.5,0.8,0.0,0.75
Arsenal,2020-21,11,0,2,False,Spurs,0,0,0,0,0.4,1.2,0.4,1.0,4.0,0.3333333333333333,1.6666666666666667,0.8,1.0,1.6,0.8,0.1,0.4444444444444444
Arsenal,2020-21,12,0,1,True,Burnley,0,0,0,0,0.4,1.4,0.4,1.0,4.0,0.3333333333333333,1.3333333333333333,0.8,0.8333333333333334,1.6,1.0,0.0,0.4
Arsenal,2020-21,13,1,1,True,Southampton,0,0,1,1,0.2,1.6,0.2,0.0,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.8333333333333334,1.5,1.0,0.0,0.29999999999999993
Arsenal,2020-21,14,1,2,False,Everton,0,0,0,0,0.4,1.2,0.2,0.0,2.0,0.3333333333333333,1.3333333333333333,0.7142857142857143,0.8333333333333334,1.4285714285714286,1.0,0.0,0.5714285714285714
Arsenal,2020-21,15,3,1,True,Chelsea,0,1,0,3,0.6,1.6,0.0,0.0,1.0,0.6666666666666666,1.3333333333333333,0.7142857142857143,0.8571428571428571,1.4285714285714286,1.1428571428571428,0.0769230769230769,0.41666666666666663
Arsenal,2020-21,16,0,0,False,Brighton,1,0,1,1,1.0,1.4,0.0,1.0,4.0,1.6666666666666667,1.3333333333333333,1.0,0.8571428571428571,1.375,1.1428571428571428,0.18181818181818185,0.5454545454545455
Arsenal,2020-21,17,4,0,False,West Brom,1,1,0,3,1.0,1.0,0.2,1.0,5.0,1.3333333333333333,1.0,1.0,0.75,1.375,1.0,0.2727272727272727,0.6666666666666666
Arsenal,2020-21,18,0,0,True,Crystal Palace,1,0,1,1,1.8,0.8,0.4,2.0,8.0,2.3333333333333335,0.3333333333333333,1.0,1.1111111111111112,1.375,0.8888888888888888,0.6153846153846155,0.8
Arsenal,2020-21,19,3,0,True,Newcastle,1,1,0,3,1.6,0.6,0.6,2.0,8.0,1.3333333333333333,0.0,0.8888888888888888,1.1111111111111112,1.2222222222222223,0.8888888888888888,0.6363636363636365,0.9166666666666667
Arsenal,2020-21,20,3,1,False,Southampton,0,1,0,3,2.0,0.2,0.8,3.0,11.0,2.3333333333333335,0.0,1.1,1.1111111111111112,1.1,0.8888888888888888,0.9090909090909091,1.0
Arsenal,2020-21,21,0,0,True,Man Utd,1,0,1,1,2.0,0.2,0.8,3.0,11.0,2.0,0.3333333333333333,1.1,1.3,1.1,0.9,0.6428571428571429,1.0
Arsenal,2020-21,22,1,2,False,Wolves,0,0,0,0,2.0,0.2,0.8,3.0,11.0,2.0,0.3333333333333333,1.0,1.3,1.0,0.9,0.6666666666666667,1.0
Arsenal,2020-21,23,0,1,False,Aston Villa,0,0,0,0,1.4,0.6,0.6,2.0,8.0,1.3333333333333333,1.0,1.0,1.2727272727272727,1.0,1.0,0.4545454545454545,0.8
