team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength,xG_last5,xGA_last5,xG_last3,xGA_last3,xG_season_avg,xGA_season_avg,home_xG_season,away_xG_season,home_xGA_season,away_xGA_season,clean_sheet_probability
Arsenal,2020-21,4,2,1,True,Sheffield Utd,0,1,0,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,4.0,1.6666666666666667,1.3333333333333333,1.0,2.0,1.0,1.5,0.5,0.6363636363636364,1.5566866666666666,1.6428123333333333,1.5566866666666666,1.6428123333333333,1.5566866666666666,1.6428123333333333,1.32902,1.6705199999999998,2.06377,1.4323335,0.19343527214862966
Arsenal,2020-21,5,0,1,False,Man City,0,0,0,0,1.75,1.25,0.25,2.0,7.0,1.3333333333333333,1.6666666666666667,1.5,2.0,1.0,1.5,0.43902439024390244,0.8055555555555556,1.33429775,1.2683577499999998,1.058107,1.6490346666666664,1.33429775,1.2683577499999998,0.9980755000000001,1.6705199999999998,1.104382,1.4323335,0.28129319641598133
Arsenal,2020-21,6,0,1,True,Leicester,0,0,0,0,1.4,1.2,0.2,2.0,7.0,1.0,1.6666666666666667,1.5,1.3333333333333333,1.0,1.3333333333333333,0.4285714285714286,0.72,1.2351025999999998,1.3007322,0.8945409999999999,1.4378546666666665,1.2351025999999998,1.3007322,0.9980755000000001,1.3931206666666665,1.104382,1.4316323333333332,0.27233231829176807
Arsenal,2020-21,7,1,0,False,Man Utd,1,1,0,3,0.8,1.4,0.0,1.0,4.0,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,0.14285714285714285,0.7142857142857144,0.9504166,1.4227012,0.7482976666666667,0.7704653333333334,1.1524921666666665,1.2066388333333333,0.9118636666666667,1.3931206666666665,0.9816453333333334,1.4316323333333332,0.2410619800320485
Arsenal,2020-21,8,0,3,True,Aston Villa,0,0,0,0,0.8,1.2,0.2,2.0,6.0,0.3333333333333333,0.6666666666666666,1.0,1.25,1.0,1.0,0.23076923076923084,0.8571428571428572,0.8842270000000001,1.0887698000000001,0.8586113333333333,0.8535050000000001,1.1304321428571429,1.0905637142857143,0.9118636666666667,1.2943584999999997,0.9816453333333334,1.1722525,0.3366303617553326
Arsenal,2020-21,9,0,0,False,Leeds,1,0,1,1,0.6,1.2,0.2,2.0,6.0,0.3333333333333333,1.3333333333333333,0.75,1.25,1.5,1.0,0.15384615384615385,0.6000000000000001,0.9266670000000001,0.9382078,1.0426273333333334,1.038605,1.162924375,1.2024344999999999,1.03149025,1.2943584999999997,1.2326165,1.1722525,0.3913285462845556
Arsenal,2020-21,10,1,2,True,Wolves,0,0,0,0,0.2,1.0,0.4,1.0,4.0,0.3333333333333333,1.0,0.75,1.0,1.5,0.8,0.0,0.75,0.9353964000000001,1.301549,1.0330733333333335,1.4471143333333334,1.1126858888888889,1.2867973333333333,1.03149025,1.1776423999999999,1.2326165,1.330142,0.2721099680743781
Arsenal,2020-21,11,0,2,False,Spurs,0,0,0,0,0.4,1.2,0.4,1.0,4.0,0.3333333333333333,1.6666666666666667,0.8,1.0,1.6,0.8,0.1,0.4444444444444444,0.991432,1.416883,1.0732160000000002,1.9847099999999998,1.1132673,1.3588076,1.0488922,1.1776423999999999,1.3874732,1.330142,0.24246861491776664
Arsenal,2020-21,12,0,1,True,Burnley,0,0,0,0,0.4,1.4,0.4,1.0,4.0,0.3333333333333333,1.3333333333333333,0.8,0.8333333333333334,1.6,1.0,0.0,0.4,0.9625872,1.3477744,0.8081646666666668,1.4530763333333334,1.0661717272727271,1.2707913636363637,1.0488922,1.080571333333333,1.3874732,1.1735565,0.25981786829335335
Arsenal,2020-21,13,1,1,True,Southampton,0,0,1,1,0.2,1.6,0.2,0.0,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.8333333333333334,1.5,1.0,0.0,0.29999999999999993,1.1336968,1.4320267999999998,1.189112,1.070968,1.1317924166666666,1.23284,1.1830135000000002,1.080571333333333,1.2921235,1.1735565,0.2388243821189843
