name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value
Aaron Connolly,2021-22,17,Brighton,Wolves,True,FWD,2,60,0,0,0,1,0,5,0,0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0592592592592592,3.773584905660377,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3333794,0.930152,0.1818181818181818,0.6363636363636362,0.3944937427652782,0.6,1.0,0.2,4.0,1.2143784666666666,1.216716666666667,0.49986578,1.4918076,0.0,0.9090909090909092,0.2249656398988457,0.2,0.4,0.6,5.0,1.11167286875,1.3975068125,2,1,2.0,0,1,736,496,9319,5.3
Adam Armstrong,2021-22,1,Southampton,Everton,False,FWD,6,90,1,0,0,3,0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,4.0,0,0,0,0,65676,6.0
Adam Armstrong,2021-22,2,Southampton,Man Utd,True,FWD,2,90,0,0,0,1,0,0,0,0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,10.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.580601,2.38863,0.2,0.4,0.091755302573576,1.0,3.0,0.0,0.0,0.580601,2.38863,1.64248,0.568342,1.0,0.8,0.5664638576112054,5.0,1.0,0.0,3.0,1.64248,0.568342,2,1,2.0,0,1,77504,20913,165181,6.0
Adam Armstrong,2021-22,3,Southampton,Newcastle,False,FWD,5,90,0,1,0,2,0,14,0,0,4.0,4.0,8.0,4.0,0.5,0.0,0.0,1.0,13.333333333333334,0,0.0,0.0,0.0,0,0.0,0.0,0,0.5840635000000001,2.32518,0.125,0.5,0.0977658446154175,0.5,2.0,0.0,0.0,0.5840635000000001,2.32518,1.155445,2.096825,0.25,0.25,0.122845845285093,1.0,3.0,0.0,0.0,1.155445,2.096825,4,1,4.0,0,0,142047,44277,276132,6.0
Adam Armstrong,2021-22,4,Southampton,West Ham,True,FWD,2,73,0,0,1,0,0,6,0,0,4.333333333333333,4.333333333333333,13.0,4.333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,21.666666666666668,0,0.0,0.0,0.0,0,0.0,0.0,0,1.542829,1.9470433333333328,0.3,0.4,0.1426953510761187,1.0,2.0,0.0,1.0,1.542829,1.9470433333333328,2.247666666666667,1.3275333333333332,1.0,0.5,0.2651304438049321,3.333333333333333,1.6666666666666667,0.0,7.0,2.247666666666667,1.3275333333333332,2,1,2.0,0,1,99289,106709,275824,6.0
Adam Armstrong,2021-22,5,Southampton,Man City,False,FWD,2,90,0,0,1,0,0,6,0,0,3.0,3.75,15.0,3.75,0.25,0.25,0.25,0.9527777777777776,25.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3301555,1.64163425,0.3,0.5454545454545454,0.1936632893040603,0.75,1.5,0.25,2.0,1.3301555,1.64163425,2.94211,0.50051345,0.8,1.0,0.6062193164818348,2.0,0.25,0.75,9.0,2.94211,0.50051345,4,1,4.0,0,0,35537,63785,249612,6.0
Adam Armstrong,2021-22,6,Southampton,Wolves,True,FWD,2,90,0,0,0,1,0,5,0,0,3.0,3.4,17.0,3.4,0.2,0.2,0.4,0.9622222222222222,28.333333333333336,0,0.0,0.0,0.0,0,0.0,0.0,0,1.162309,1.5582094000000002,0.25,0.6153846153846153,0.2105126779252326,0.6,1.2,0.4,3.0,1.162309,1.5582094000000002,1.643308,1.1702684,0.0,0.6923076923076923,0.310283649956643,0.0,1.0,0.2,1.0,1.643308,1.1702684,2,1,2.0,0,1,34837,38008,250797,6.0
Adam Armstrong,2021-22,7,Southampton,Chelsea,False,FWD,2,90,0,0,0,3,0,6,0,0,2.0,2.6,19.0,3.1666666666666665,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.9685185185185186,31.666666666666668,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2280572,1.26245,0.1,0.6923076923076923,0.2829599247566766,0.4,0.8,0.4,3.0,1.1201478333333337,1.4501466666666667,1.6435179999999998,1.2572638,0.8,0.8461538461538461,0.2844312234453277,1.8,0.4,0.6,10.0,1.5674466666666664,1.1013366666666666,4,1,4.0,0,0,12525,47247,215719,6.0
Adam Armstrong,2021-22,10,Southampton,Watford,False,FWD,5,90,0,1,1,0,0,10,0,0,2.0,2.6,21.0,3.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.973015873015873,35.593220338983045,0,0.0,0.0,0.0,0,0.0,0.0,0,1.236619,1.4092281999999998,0.1875,0.6000000000000001,0.2443317856731401,0.8,1.2,0.4,5.0,1.2781907777777777,1.512519777777778,1.3854934,2.075269,0.4375,0.1999999999999999,0.1255226573564885,1.6,2.0,0.0,7.0,1.0518304444444444,1.8636297777777773,4,1,4.0,0,0,8355,48608,204055,5.9
Adam Armstrong,2021-22,11,Southampton,Aston Villa,True,FWD,9,80,1,0,1,0,3,31,0,0,3.0,2.6,26.0,3.25,0.125,0.25,0.375,0.7811111111111111,44.06779661016949,0,0.0,0.0,0.0,0,0.0,0.0,0,1.5199484,1.3348374,0.25,0.6000000000000001,0.2632009684543343,1.0,1.2,0.4,7.0,1.3411287,1.4465234,1.1915262,2.4131220000000004,0.25,0.0,0.0895353284770673,1.0,2.4,0.2,3.0,1.0661741,1.7157285000000002,2,1,2.0,0,1,17067,16650,207367,5.9
