player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
123,1,0,0,0,0,0,0,0,4.5,1,0,0,12
170,1,0,0,0,0,0,0,0,5.0,1,0,0,13
39,1,0,0,0,0,0,0,0,5.0,0,0,0,15
373,1,3,90,0,0,1,0,0,8.5,1,0,0,20
87,1,0,0,0,0,0,0,0,5.0,1,0,0,19
146,1,0,0,0,0,0,0,0,4.5,1,0,0,12
602,1,1,63,0,0,0,0,0,4.0,0,0,0,5
464,1,0,0,0,0,0,0,0,4.5,0,0,0,1
318,1,0,0,0,0,0,0,0,4.0,0,0,0,5
657,1,0,0,0,0,0,0,0,4.5,0,0,0,17
8,1,0,0,0,0,0,0,0,8.0,1,0,0,16
173,1,1,90,0,0,0,0,0,4.5,1,0,0,13
496,1,0,0,0,0,0,0,0,4.5,0,0,0,4
242,1,6,90,0,0,1,0,0,4.5,0,0,0,17
603,1,11,22,1,1,0,0,2,6.5,1,0,0,2
356,1,3,67,0,0,1,0,0,5.0,0,0,0,6
588,1,2,90,0,0,0,0,0,4.5,1,0,0,10
530,1,0,0,0,0,0,0,0,4.5,0,0,0,3
508,1,0,0,0,0,0,0,0,4.5,0,0,0,4
