id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
72,Kluivert,Justin,Kluivert,3,MID,3,0.7,5.0,50
73,Lowe,Jamal,Lowe,3,MID,3,0.0,5.0,50
74,Marcondes,Emiliano,Marcondes,3,MID,3,0.0,4.5,45
75,Mepham,Chris,Mepham,2,DEF,3,0.1,4.5,45
76,Moore,Kieffer,Moore,4,FWD,3,0.2,5.0,50
77,Neto,Norberto,Murara Neto,1,GK,3,4.2,4.5,45
78,O.Dango,Dango,Ouattara,3,MID,3,0.0,5.0,50
79,Pearson,Ben,Pearson,3,MID,3,0.0,4.5,45
80,Randolph,Darren,Randolph,1,GK,3,0.4,4.0,40
81,Rothwell,Joe,Rothwell,3,MID,3,0.0,5.0,50
82,Semenyo,Antoine,Semenyo,4,FWD,3,2.0,4.5,45
83,Senesi,Marcos,Senesi,2,DEF,3,2.4,4.5,45
84,Smith,Adam,Smith,2,DEF,3,0.5,4.5,45
85,Solanke,Dominic,Solanke,4,FWD,3,17.8,6.5,65
86,Tavernier,Marcus,Tavernier,3,MID,3,0.3,5.5,55
87,Hamed Traorè,Hamed,Traorè,3,MID,3,0.0,5.0,50
88,Travers,Mark,Travers,1,GK,3,0.3,4.0,40
89,Zabarnyi,Illia,Zabarnyi,2,DEF,3,1.9,4.5,45
595,Kerkez,Milos,Kerkez,2,DEF,3,0.3,4.5,45
607,Radu,Ionuț,Radu,1,GK,3,0.1,4.5,45
619,Greenwood,Ben,Greenwood,2,DEF,3,0.1,4.0,40
643,Aarons,Max,Aarons,2,DEF,3,0.1,4.5,45
644,Scott,Alex,Scott,3,MID,3,0.0,5.0,50
673,Adams,Tyler,Adams,3,MID,3,0.0,5.0,50
705,Sinisterra,Luis,Sinisterra,3,MID,3,0.0,5.5,55
799,Faivre,Romain,Faivre,3,MID,3,0.0,5.0,50
802,Kinsey,Max,Kinsey,2,DEF,3,0.0,4.0,40
804,Enes Ünal,Enes,Ünal,4,FWD,3,0.0,5.0,50
811,Sadi,Dominic,Sadi,3,MID,3,0.0,4.5,45
849,Dacosta Gonzalez,Michael,Dacosta Gonzalez,3,MID,3,0.0,4.5,45
855,McKenna,Callan,McKenna,1,GK,3,0.0,4.0,40
90,Ajer,Kristoffer,Ajer,2,DEF,4,0.7,4.5,45
91,Balcombe,Ellery,Balcombe,1,GK,4,0.2,4.0,40
92,Baptiste,Shandon,Baptiste,3,MID,4,0.7,4.5,45
93,Bech,Mads,Bech Sørensen,2,DEF,4,0.1,4.0,40
94,Bidstrup,Mads,Bidstrup,3,MID,4,0.0,4.5,45
95,Canós,Sergi,Canós Tenés,3,MID,4,0.0,5.0,50
96,Collins,Nathan,Collins,2,DEF,4,0.8,4.5,45
97,Cox,Matthew,Cox,1,GK,4,0.0,4.0,40
98,Damsgaard,Mikkel,Damsgaard,3,MID,4,0.0,5.0,50
99,Dasilva,Josh,Dasilva,3,MID,4,0.0,5.0,50
100,Dervişoğlu,Halil,Dervişoğlu,4,FWD,4,0.0,4.5,45
101,Flekken,Mark,Flekken,1,GK,4,4.5,4.5,45
102,Goode,Charlie,Goode,2,DEF,4,0.1,4.0,40
103,Henry,Rico,Henry,2,DEF,4,0.8,4.5,45
104,Hickey,Aaron,Hickey,2,DEF,4,0.1,4.5,45
105,Janelt,Vitaly,Janelt,3,MID,4,0.1,5.5,55
106,Jensen,Mathias,Jensen,3,MID,4,0.7,5.5,55
107,Lewis-Potter,Keane,Lewis-Potter,3,MID,4,0.1,5.0,50
108,Mbeumo,Bryan,Mbeumo,3,MID,4,6.7,6.5,65
109,Mee,Ben,Mee,2,DEF,4,1.1,5.0,50
110,Nørgaard,Christian,Nørgaard,3,MID,4,0.1,5.5,55
111,Onyeka,Frank,Onyeka,3,MID,4,0.0,5.0,50
112,Pinnock,Ethan,Pinnock,2,DEF,4,1.4,4.5,45
114,Roerslev,Mads,Roerslev Rasmussen,2,DEF,4,0.4,4.5,45
115,Schade,Kevin,Schade,3,MID,4,0.1,5.5,55
116,Strakosha,Thomas,Strakosha,1,GK,4,1.2,4.0,40
117,Toney,Ivan,Toney,4,FWD,4,3.7,8.0,80
118,Trevitt,Ryan,Trevitt,3,MID,4,0.0,4.5,45
119,Wissa,Yoane,Wissa,4,FWD,4,5.1,6.0,60
120,Yarmoliuk,Yegor,Yarmoliuk,3,MID,4,0.7,4.5,45
121,Zanka,Mathias,Jorgensen,2,DEF,4,0.3,4.5,45
258,Maupay,Neal,Maupay,4,FWD,4,0.9,5.0,50
508,Reguilón,Sergio,Reguilón,2,DEF,4,3.0,4.5,45
620,Olakigbe,Michael,Olakigbe,3,MID,4,0.0,4.5,45
684,Brierley,Ethan,Brierley,3,MID,4,0.0,4.5,45
701,Ghoddos,Saman,Ghoddos,3,MID,4,0.0,4.5,45
725,Kim Ji-Soo,Ji-Soo,Kim,2,DEF,4,0.0,4.0,40
