Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
278,Scott Pittman,sct SCO,MF,Livingston,30,1992,33,27,2406,26.7,0,1,1,0,0,0,4,1,0.00,0.04,0.04,0.00,0.04,Matches,Scottish Premiership,2022-23
279,Matthew Pollock,eng ENG,DF,Aberdeen,20,2001,15,15,1327,14.7,2,1,3,2,0,0,2,0,0.14,0.07,0.20,0.14,0.20,Matches,Scottish Premiership,2022-23
280,Dante Polvara,us USA,MF,Aberdeen,22,2000,3,1,140,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
281,Liam Polworth,sct SCO,MF,Kilmarnock,27,1994,26,19,1739,19.3,1,2,3,1,0,0,1,0,0.05,0.10,0.16,0.05,0.16,Matches,Scottish Premiership,2022-23
282,Ryan Porteous,sct SCO,"DF,MF",Hibernian,23,1999,21,21,1877,20.9,3,0,3,3,0,0,7,0,0.14,0.00,0.14,0.14,0.14,Matches,Scottish Premiership,2022-23
283,Alan Power,ie IRL,MF,Kilmarnock,34,1988,32,25,2179,24.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
284,Ben Purrington,eng ENG,DF,Ross County,26,1996,11,11,941,10.5,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,Scottish Premiership,2022-23
285,Anthony Ralston,sct SCO,DF,Celtic,23,1998,16,14,1261,14.0,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,Scottish Premiership,2022-23
286,Ylber Ramadani,al ALB,MF,Aberdeen,26,1996,37,37,3298,36.6,1,3,4,1,0,0,8,0,0.03,0.08,0.11,0.03,0.11,Matches,Scottish Premiership,2022-23
287,Christian Ramirez,us USA,MF,Aberdeen,31,1991,9,1,186,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,Scottish Premiership,2022-23
