Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
506,Michel Vlap,nl NED,MF,Twente,24,1997,34,31,2428,27.0,5,2,7,5,0,0,2,0,0.19,0.07,0.26,0.19,0.26,Matches,Eredivisie,2021-22
507,Rai Vloet,nl NED,MF,Heracles Almelo,26,1995,12,11,1016,11.3,3,0,3,2,1,2,3,0,0.27,0.00,0.27,0.18,0.18,Matches,Eredivisie,2021-22
508,Siemen Voet,be BEL,DF,Zwolle,21,2000,17,14,1243,13.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
509,Dennis Vos,nl NED,DF,PSV,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
510,Bart Vriends,nl NED,DF,Sparta Rotterdam,30,1991,33,31,2823,31.4,3,0,3,3,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,Eredivisie,2021-22
511,Patrick Vroegh,nl NED,"MF,FW",Vitesse,21,1999,21,4,653,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
512,Max de Waal,nl NED,"FW,MF",Zwolle,19,2002,7,0,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
513,Patrik Wålemark,se SWE,MF,Feyenoord,19,2001,12,1,377,4.2,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,Eredivisie,2021-22
514,Django Warmerdam,nl NED,DF,Utrecht,25,1995,26,21,1925,21.4,1,2,3,1,0,0,3,0,0.05,0.09,0.14,0.05,0.14,Matches,Eredivisie,2021-22
515,Timon Wellenreuther,de GER,GK,Willem II,25,1995,31,31,2790,31.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
516,Sai van Wermeskerken,jp JPN,MF,Zwolle,27,1994,7,2,278,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
517,Owen Wijndal,nl NED,DF,AZ Alkmaar,21,1999,31,31,2683,29.8,1,10,11,1,0,0,7,0,0.03,0.34,0.37,0.03,0.37,Matches,Eredivisie,2021-22
518,Dani de Wit,nl NED,"MF,FW",AZ Alkmaar,23,1998,33,33,2837,31.5,8,4,12,8,0,0,4,0,0.25,0.13,0.38,0.25,0.38,Matches,Eredivisie,2021-22
519,Mees de Wit,nl NED,"MF,DF",Zwolle,23,1998,28,26,2324,25.8,4,0,4,4,0,0,6,0,0.15,0.00,0.15,0.15,0.15,Matches,Eredivisie,2021-22
520,Aslak Witry,no NOR,DF,AZ Alkmaar,25,1996,28,17,1394,15.5,1,1,2,1,0,0,0,0,0.06,0.06,0.13,0.06,0.13,Matches,Eredivisie,2021-22
521,Maximilian Wittek,de GER,"MF,DF",Vitesse,25,1995,25,25,2226,24.7,0,6,6,0,0,0,8,0,0.00,0.24,0.24,0.00,0.24,Matches,Eredivisie,2021-22
522,Ricky van Wolfswinkel,nl NED,FW,Twente,32,1989,32,31,2560,28.4,16,8,24,11,5,6,6,0,0.56,0.28,0.84,0.39,0.67,Matches,Eredivisie,2021-22
523,Lucas Woudenberg,nl NED,"DF,MF",Heerenveen,27,1994,19,16,1499,16.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
524,Luuk Wouters,nl NED,DF,RKC Waalwijk,22,1999,18,5,584,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
525,Romaric Yapi,fr FRA,"MF,DF",Vitesse,21,2000,11,3,295,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
526,John Yeboah,ec ECU,"FW,MF",Willem II,21,2000,8,0,79,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
527,Ulrik Yttergård Jenssen,no NOR,DF,Willem II,25,1996,23,21,1881,20.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
528,Timo Zaal,nl NED,DF,Heerenveen,17,2004,2,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
529,Arthur Zagre,fr FRA,DF,Utrecht,19,2001,8,4,414,4.6,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,Eredivisie,2021-22
530,Eran Zahavi,il ISR,FW,PSV,34,1987,25,21,1516,16.8,11,7,18,11,0,0,0,0,0.65,0.42,1.07,0.65,1.07,Matches,Eredivisie,2021-22
531,Ramiz Zerrouki,dz ALG,MF,Twente,23,1998,32,31,2598,28.9,2,1,3,2,0,0,10,1,0.07,0.03,0.10,0.07,0.10,Matches,Eredivisie,2021-22
532,Rick Zuijderwijk,nl NED,MF,Willem II,20,2001,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
533,Dario Đumić,ba BIH,DF,Twente,29,1992,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
