player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Collado Diego,esESP,3.5,Gil Vicente FC,23,2001,0.3,,1,,,,,,,,,,,1,,,,Matches
Commey Semeu,ghGHA,2.0,Estrela,20,2004,0.5,,1,,,,,,,,,,,0,,,,Matches
Conceição Fábio,ptPOR,3.5,Estrela,23,2001,7.6,,10,,,,,,,,,,,7,,,,Matches
Conceição Fábio,ptPOR,3.0,Rio Ave,23,2001,4.7,,7,,,,,,,,,,,4,,,,Matches
Cordeiro Leo,brBRA,3.0,Estrela,28,1995,20.7,,19,,,,,,,,,,,16,,,,Matches
Correia Félix,ptPOR,3.4,Gil Vicente FC,23,2001,32.1,,23,,,,,,,,,,,32,,,,Matches
costa Alberto,ptPOR,2.0,Vitória Guimarães,20,2003,7.5,,16,,,,,,,,,,,11,,,,Matches
Costa Bruno Xavier Almeida,ptPOR,3.0,Nacional,27,1997,10.2,,5,,,,,,,,,,,5,,,,Matches
Costa Diogo,ptPOR,1.0,Porto,24,1999,32.0,,1,,,,,,,,,,,1,,,,Matches
Costa Gonçalo,ptPOR,2.4,Estoril,24,2000,5.7,,4,,,,,,,,,,,7,,,,Matches
Costa Hélder,aoANG,3.5,Estoril,30,1994,6.7,,3,,,,,,,,,,,0,,,,Matches
Costa João,ptPOR,4.0,Santa Clara,24,2000,8.1,,10,,,,,,,,,,,5,,,,Matches
Costa João Paulo Santos,ptPOR,1.0,Estrela,28,1996,14.0,,0,,,,,,,,,,,0,,,,Matches
Costa Michel,brBRA,3.0,Estoril,22,2001,6.6,,4,,,,,,,,,,,7,,,,Matches
Costa Rui,ptPOR,4.0,Farense,28,1996,7.7,,3,,,,,,,,,,,2,,,,Matches
Cruz Marco,ptPOR,3.0,Vitória Guimarães,20,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
Cruz Sandro,aoANG,2.0,Gil Vicente FC,23,2001,23.1,,33,,,,,,,,,,,25,,,,Matches
Dabo Augusto,gwGNB,2.0,Boavista,20,2004,6.1,,6,,,,,,,,,,,2,,,,Matches
Dahl Samuel,seSWE,2.4,Benfica,24,2000,6.6,,5,,,,,,,,,,,5,,,,Matches
Dante Amadou,mlMLI,2.3,Arouca,23,2000,11.8,,23,,,,,,,,,,,16,,,,Matches
De Amorim Mathias,ptPOR,3.0,Famalicão,19,2004,11.9,,23,,,,,,,,,,,16,,,,Matches
Debast Zeno,beBEL,2.4,Sporting CP,20,2003,23.6,,27,,,,,,,,,,,27,,,,Matches
Depú,aoANG,4.0,Gil Vicente FC,24,2000,0.5,,0,,,,,,,,,,,0,,,,Matches
Derick,brBRA,2.4,Farense,30,1993,15.7,,13,,,,,,,,,,,12,,,,Matches
Di María Ángel,arARG,3.5,Benfica,36,1988,18.3,,7,,,,,,,,,,,8,,,,Matches
Diaby Abdoulay,mlMLI,3.5,Boavista,33,1991,9.9,,4,,,,,,,,,,,5,,,,Matches
Dias Matheus,brBRA,2.4,Nacional,22,2002,19.4,,34,,,,,,,,,,,37,,,,Matches
