player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Igor,brBRA,3.0,Estrela,21,2003,8.9,4,0,0,21,12,1,3,13,13,,,0,Matches
Inácio André,brBRA,3.4,Estrela,22,2002,7.1,1,0,0,1,20,0,12,1,4,,,0,Matches
Inácio André,brBRA,3.0,Rio Ave,22,2002,13.1,1,0,0,10,32,5,24,5,11,,,0,Matches
Inácio Gonçalo,ptPOR,2.0,Sporting CP,22,2001,25.1,6,0,0,27,9,1,2,30,25,,,0,Matches
Isaac,brBRA,4.0,Nacional,20,2004,13.7,3,0,0,21,17,14,1,2,10,,,0,Matches
Ismael,ptPOR,3.0,Moreirense,25,1999,22.5,6,0,0,43,36,0,16,32,36,,,0,Matches
Israel Franco,uyURU,1.0,Sporting CP,24,2000,11.0,1,0,0,0,1,0,0,0,0,,,0,Matches
Jaime Pajuelo Ivan,esESP,3.0,Porto,23,2000,4.9,1,0,0,4,14,2,6,2,1,,,0,Matches
Jason,esESP,3.4,Arouca,30,1994,25.0,5,0,0,22,60,9,145,12,14,,,0,Matches
Jhonatan,brBRA,1.0,Rio Ave,33,1991,8.0,1,0,0,0,1,0,0,1,0,,,0,Matches
Joel Diederrick,cmCMR,4.0,Nacional,30,1993,9.6,1,0,0,13,15,4,2,0,2,,,0,Matches
Jorquera Joel,esESP,3.0,Moreirense,23,2000,4.8,0,0,0,4,12,2,10,0,3,,,0,Matches
Júnior Luiz Lúcio Reis,brBRA,1.0,Famalicão,23,2001,1.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Justo Samuel,ptPOR,3.0,Farense,20,2004,2.3,0,0,0,1,2,1,4,0,2,,,0,Matches
Kaboré Issa,bfBFA,2.3,Benfica,23,2001,0.1,0,0,0,2,0,0,2,0,0,,,0,Matches
Kaique,brBRA,1.0,Farense,21,2003,6.0,1,0,0,0,1,0,0,1,0,,,0,Matches
Kakay Osman,slSLE,2.0,Boavista,26,1997,6.4,3,1,1,15,4,1,17,4,5,,,0,Matches
Kali,aoANG,2.0,Casa Pia,20,2003,0.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Kamate Issiaka,frFRA,2.4,AVS Futebol,19,2004,3.9,0,0,0,9,2,1,7,5,4,,,0,Matches
Karse Jorge,geGEO,2.0,Rio Ave,19,2005,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Kazu,brBRA,2.0,Gil Vicente FC,24,2000,5.9,2,0,0,8,5,1,18,2,3,,,0,Matches
Keliano,aoANG,3.0,Estrela,21,2003,10.8,7,0,0,32,14,0,5,13,32,,,0,Matches
Kewin,brBRA,1.0,Moreirense,28,1995,29.0,4,0,0,0,6,0,0,0,0,,,0,Matches
Kikas,ptPOR,4.0,Estrela,25,1998,23.4,4,0,0,36,19,23,39,3,2,,,0,Matches
Klismahn Gustavo,brBRA,3.5,Santa Clara,24,1999,9.1,2,0,0,19,12,1,54,8,13,,,0,Matches
Kluivert Ruben,nlNED,2.0,Casa Pia,23,2001,13.7,5,0,0,18,6,1,2,12,14,,,0,Matches
Koka,egEGY,4.0,Rio Ave,31,1993,1.9,2,0,0,3,1,4,0,0,0,,,0,Matches
Kökçü Orkun,trTUR,3.0,Benfica,23,2000,29.3,8,0,0,34,43,3,141,14,28,,,0,Matches
Koné Moussa,snSEN,3.4,Boavista,27,1996,3.5,0,0,0,5,16,2,2,0,2,,,0,Matches
Kostoulas Konstantinos,grGRE,2.0,Rio Ave,19,2005,2.1,2,0,0,2,1,0,0,2,2,,,1,Matches
Kovačević Vladan,baBIH,1.0,Sporting CP,26,1998,6.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Kraev Andrian,bgBUL,3.0,Casa Pia,25,1999,18.5,9,0,0,57,14,0,8,22,23,,,0,Matches
Kurzawa Layvin,frFRA,2.4,Boavista,31,1992,1.9,2,0,0,4,0,0,11,4,0,,,0,Matches
Labidi Chiheb,tnTUN,3.0,Nacional,23,2001,4.6,3,0,0,15,7,0,3,9,12,,,0,Matches
Lacximicant André,ptPOR,4.0,Estoril,23,2001,11.0,4,0,0,30,20,5,11,4,4,,,0,Matches
Lamba Chico,ptPOR,2.0,Arouca,21,2003,25.2,6,0,0,36,33,0,3,17,18,,,0,Matches
Larra,esESP,3.0,Casa Pia,26,1997,24.9,9,1,1,21,35,4,63,33,25,,,0,Matches
Lelo Leonardo,ptPOR,3.0,Casa Pia,24,2000,31.6,2,0,0,11,32,2,151,28,35,,,0,Matches
Leonardo Marcos,brBRA,4.0,Benfica,21,2003,0.9,0,0,0,1,1,1,2,0,0,,,0,Matches
Liberato Guilherme,brBRA,3.0,Moreirense,23,2001,0.5,0,0,0,2,0,0,0,0,0,,,0,Matches
Liimatta Otso,fiFIN,3.0,Famalicão,20,2004,1.3,1,0,0,3,4,0,1,1,2,,,0,Matches
Lima Rúben,ptPOR,2.0,Estrela,34,1989,19.8,3,1,0,19,17,1,32,24,19,,,0,Matches
Lincon Yan,brBRA,4.0,Moreirense,21,2002,2.9,2,0,0,7,6,2,0,0,1,,,0,Matches
Livolant Jérémy,frFRA,3.5,Casa Pia,26,1998,20.0,1,1,0,19,47,10,65,0,12,,,0,Matches
Loader Danny,cmCMR,3.5,Porto,23,2000,11.9,3,0,0,22,21,4,8,6,7,,,0,Matches
