player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Bretones Abel,esESP,2.3,Osasuna,23,2000,23.0,3,0,0,25,32,3,84,19,37,,,0,Matches
Buchanan Tajon,caCAN,3.0,Villarreal,25,1999,4.6,2,0,0,12,20,5,16,3,5,,,0,Matches
Budimir Ante,hrCRO,4.0,Osasuna,33,1991,32.8,4,0,0,47,35,15,6,1,9,,,0,Matches
Bueno Manu,esESP,3.0,Sevilla,20,2004,1.6,0,0,0,2,3,0,1,0,3,,,0,Matches
Buján Endika,esESP,4.0,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Cabanes Pau,esESP,4.0,Villarreal,19,2005,1.8,0,0,0,4,7,0,6,3,4,,,0,Matches
Cabanes Pau,esESP,3.0,Alavés,19,2005,2.1,1,0,0,5,5,0,12,0,2,,,0,Matches
Cabrera Leandro,uyURU,2.0,Espanyol,33,1991,31.9,4,1,0,24,8,0,18,29,22,,,0,Matches
Calero Fernando,esESP,2.0,Espanyol,28,1995,7.9,1,0,0,6,8,0,2,15,9,,,0,Matches
Camavinga Eduardo,frFRA,2.4,Real Madrid,21,2002,12.2,2,0,0,21,31,1,2,19,26,,,0,Matches
Camello Sergio,esESP,4.0,Rayo Vallecano,23,2001,12.6,2,0,0,11,10,2,6,4,4,,,0,Matches
Campaña José,esESP,3.0,Las Palmas,31,1993,13.2,5,0,0,7,20,0,34,20,15,,,0,Matches
Canales Peio,esESP,3.0,Athletic Club,19,2005,2.9,0,0,0,1,2,1,16,1,2,,,0,Matches
Candela Antonio,itITA,2.0,Valladolid,24,2000,10.1,1,0,0,5,7,2,20,6,6,,,0,Matches
Canós Sergi,esESP,3.0,Valencia,27,1997,4.1,3,0,0,12,6,1,18,7,7,,,0,Matches
Cárdenas Dani,esESP,1.0,Rayo Vallecano,27,1997,6.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Cardona Irvin,mtMLT,3.5,Espanyol,26,1997,6.7,1,0,0,8,8,5,13,5,6,,,0,Matches
Cardona Marc,esESP,4.0,Las Palmas,29,1995,1.5,2,0,0,2,3,0,1,0,2,,,0,Matches
