player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Jahanbakhsh Alireza,irIRN,3.4,Feyenoord,28,1993,13.6,2,0,0,17,12,2,69,9,14,,,0,Matches
James Dean,idIDN,2.0,Volendam,22,2000,4.8,0,0,0,7,2,0,7,11,3,,,0,Matches
Janssen Roel,nlNED,2.0,Fortuna Sittard,32,1990,0.7,0,0,0,0,0,0,0,2,2,,,0,Matches
Jensen Victor,dkDEN,3.4,Utrecht,22,2000,5.4,0,0,0,6,11,0,8,3,6,,,0,Matches
Johnsen Bjørn,noNOR,4.0,Cambuur,30,1991,9.7,0,0,0,7,6,7,2,3,1,,,0,Matches
Johnson Darius,gdGRN,3.0,Volendam,22,2000,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Jonathans Miliano,idIDN,3.0,Vitesse,18,2004,1.5,2,0,0,4,2,0,11,2,3,,,0,Matches
Jong Fedde,nlNED,2.0,AZ Alkmaar,19,2003,0.8,0,0,0,0,0,0,1,0,2,,,0,Matches
Jong Luuk,nlNED,4.0,PSV,31,1990,19.4,3,0,0,14,21,7,3,3,7,,,0,Matches
Joosten Patrick,nlNED,3.5,Groningen,26,1996,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Jozefzoon Florian,srSUR,3.5,RKC Waalwijk,31,1991,10.4,1,0,0,4,8,7,29,2,8,,,0,Matches
Júnior Mauro,brBRA,2.3,PSV,23,1999,3.0,0,1,0,2,5,0,9,4,3,,,0,Matches
Kaam Daniël,nlNED,3.0,Cambuur,22,2000,25.6,1,0,0,12,29,1,36,15,17,,,0,Matches
Kadiri Ibrahim,nlNED,3.5,Volendam,20,2002,8.5,0,0,0,9,3,2,42,3,11,,,0,Matches
Kaib Rami,tnTUN,2.0,Heerenveen,25,1997,6.5,2,0,0,9,4,1,42,8,8,,,0,Matches
Kalley Yahya,seSWE,2.0,Groningen,21,2001,1.4,2,0,0,4,3,0,3,4,5,,,0,Matches
Karlsbakk Daniel,noNOR,4.0,Heerenveen,19,2003,2.0,1,0,0,8,4,1,0,1,0,,,0,Matches
Karlsson Jesper,seSWE,3.4,AZ Alkmaar,24,1998,19.7,5,0,0,12,13,5,105,13,9,,,0,Matches
Karouani Souffian,maMAR,2.0,NEC Nijmegen,21,2000,32.1,8,0,0,46,34,2,142,26,45,,,0,Matches
Kasanwirjo Neraysho,nlNED,2.3,Groningen,20,2002,13.7,2,0,0,14,13,1,20,17,22,,,0,Matches
Kasanwirjo Neraysho,nlNED,2.0,Feyenoord,20,2002,1.6,0,0,0,1,1,0,2,1,2,,,0,Matches
Keijzer Fabian,nlNED,1.0,Utrecht,22,2000,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Kerkez Milos,huHUN,2.0,AZ Alkmaar,18,2003,29.7,4,0,0,38,37,2,98,30,31,,,0,Matches
Kharchouch Reda,nlNED,4.0,Excelsior,26,1995,13.7,3,0,0,19,6,6,5,1,10,,,0,Matches
Kieftenbeld Maikel,nlNED,3.0,Emmen,32,1990,1.0,0,0,0,3,2,0,1,2,0,,,1,Matches
Kitolano Joshua,noNOR,3.0,Sparta Rotterdam,20,2001,29.5,2,0,0,19,31,0,11,27,35,,,0,Matches
Kjølø Mathias,noNOR,3.0,Twente,21,2001,11.2,0,0,0,6,13,0,7,7,8,,,0,Matches
Klaassen Davy,nlNED,3.0,Ajax,29,1993,22.7,3,0,0,14,15,3,5,8,21,,,0,Matches
Klaiber Sean,srSUR,2.0,Utrecht,28,1994,24.8,4,0,0,30,4,4,83,44,53,,,0,Matches
Klomp Flip,nlNED,3.0,Volendam,20,2001,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Kluivert Ruben,nlNED,2.0,Utrecht,21,2001,4.8,2,0,0,7,0,0,0,13,7,,,0,Matches
