Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
158,Jordan van der Gaag,nl NED,MF,B-SAD,22,1999,4,1,178,2.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Lamine Diaby,fr FRA,MF,Paços de Ferreira,24,1996,13,0,226,2.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Luis Díaz,co COL,MF,Porto,24,1997,18,18,1491,16.6,14,4,18,14,0,1,2,0,0.85,0.24,1.09,0.85,1.09,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Marcelo Djaló,gw GNB,DF,Boavista,27,1993,1,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Matchoi Djaló,pt POR,MF,Paços de Ferreira,18,2003,23,5,709,7.9,1,1,2,1,0,0,5,0,0.13,0.13,0.25,0.13,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Ivan Dolček,hr CRO,MF,Famalicão,21,2000,9,1,198,2.2,1,0,1,1,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Bruno Duarte,br BRA,FW,Vitória Guimarães,25,1996,31,8,1011,11.2,7,3,10,6,1,1,3,0,0.62,0.27,0.89,0.53,0.80,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Marcus Edwards,eng ENG,"FW,MF",Sporting CP,22,1998,12,5,524,5.8,3,2,5,3,0,0,1,0,0.52,0.34,0.86,0.52,0.86,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Marcus Edwards,eng ENG,FW,Vitória Guimarães,22,1998,18,14,1286,14.3,7,1,8,4,3,3,2,1,0.49,0.07,0.56,0.28,0.35,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Ricardo Esgaio,pt POR,MF,Sporting CP,28,1993,27,15,1466,16.3,0,4,4,0,0,0,7,0,0.00,0.25,0.25,0.00,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
