player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Christie-Davies Isaac,wlsWAL,3.0,Eupen,25,1997,6.3,3,0,0,19,5,0,4,3,6,,,0,Matches
Cobbaut Elias,beBEL,2.0,Mechelen,25,1997,29.1,4,0,0,13,18,3,23,20,12,,,0,Matches
Cojocaru Valentin,roROU,1.0,OH Leuven,27,1995,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Colassin Antoine,beBEL,3.5,Anderlecht,22,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Coosemans Colin,beBEL,1.0,Anderlecht,30,1992,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Coppens Jo,beBEL,1.0,Sint-Truiden,32,1990,4.0,0,0,0,0,2,0,0,0,0,,,0,Matches
Corbanie Kobe,beBEL,2.0,Antwerp,18,2005,1.9,0,0,0,5,1,0,4,0,5,,,0,Matches
Coucke Gaëtan,beBEL,1.0,Mechelen,24,1998,36.0,2,0,0,0,3,0,0,0,0,,,0,Matches
Coulibaly Soumaïla,frFRA,2.0,Antwerp,19,2003,16.6,3,0,0,13,18,0,0,33,8,,,0,Matches
Cuesta Carlos,coCOL,2.0,Genk,24,1999,31.5,10,0,0,41,10,0,2,47,32,,,0,Matches
Cuypers Hugo,beBEL,4.0,Gent,26,1997,18.1,2,0,0,13,22,10,12,6,20,,,0,Matches
Dabbagh Oday,psPLE,4.0,Charleroi,24,1998,21.0,1,0,0,26,23,11,15,2,19,,,0,Matches
Daci Erdon,mkMKD,4.0,Westerlo,25,1998,7.7,2,0,0,9,6,11,9,0,2,,,0,Matches
Dagur Þorsteinsson Jón,isISL,3.5,OH Leuven,24,1998,26.8,8,0,0,31,52,13,133,7,39,,,0,Matches
Dailly Niklo,beBEL,3.4,RWDM,21,2001,3.6,0,0,0,5,3,1,4,1,4,,,0,Matches
Daland Jesper,noNOR,2.0,Cercle Brugge,23,2000,36.9,6,0,0,25,23,6,3,56,49,,,1,Matches
Dari Achraf,maMAR,2.0,Charleroi,24,1999,6.8,0,0,0,9,18,0,3,14,8,,,0,Matches
Davidson Jason,auAUS,2.3,Eupen,32,1991,26.9,4,0,0,19,18,5,77,28,33,,,0,Matches
Davies Isaak,wlsWAL,4.0,Kortrijk,21,2001,25.0,3,0,0,44,26,17,20,6,17,,,0,Matches
De Cuyper Maxim,beBEL,2.0,Club Brugge,22,2000,30.6,5,1,1,17,22,0,193,40,33,,,0,Matches
De Laet Ritchie,beBEL,2.0,Antwerp,34,1988,15.2,3,0,0,7,12,1,15,24,20,,,0,Matches
De Neve Dion,beBEL,2.4,Kortrijk,21,2002,24.8,2,0,0,13,2,0,138,25,57,,,0,Matches
De Sart Alexis,beBEL,3.0,RWDM,26,1996,5.4,1,0,0,9,6,1,4,4,9,,,0,Matches
De Sart Julien,beBEL,3.0,Gent,28,1994,35.3,6,0,0,53,29,0,25,69,80,,,1,Matches
De Vlieger Tibe,beBEL,3.0,Gent,17,2005,0.4,0,0,0,0,1,0,1,1,1,,,0,Matches
De Wilde Nils,beBEL,3.0,Cercle Brugge,20,2003,8.5,2,0,0,8,3,0,9,5,12,,,0,Matches
Debast Zeno,beBEL,2.0,Anderlecht,19,2003,36.2,10,2,1,35,26,0,15,37,38,,,0,Matches
Decoene Massimo,beBEL,3.0,Kortrijk,19,2004,0.1,0,0,0,0,0,0,1,1,0,,,0,Matches
