player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Haidara Amadou,mlMLI,3.0,RB Leipzig,26,1998,14.7,7,0,0,23,8,0,12,18,17,,,0,Matches
Hanche-Olsen Andreas,noNOR,2.0,Mainz 05,27,1997,14.3,4,1,1,20,8,0,1,11,14,,,0,Matches
Harres Phil,deGER,4.0,Holstein Kiel,22,2002,17.2,3,0,0,35,20,5,6,4,9,,,0,Matches
Hendriks Ramon,nlNED,2.0,Stuttgart,23,2001,12.8,3,0,0,12,14,0,12,15,11,,,0,Matches
Hennrich Paul,deGER,3.0,Hoffenheim,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Henrichs Benjamin,deGER,2.3,RB Leipzig,27,1997,10.4,3,0,0,13,9,0,19,15,16,,,0,Matches
Hermoso Mario,esESP,2.0,Leverkusen,29,1995,3.3,0,0,0,2,1,0,4,9,0,,,0,Matches
Hincapié Piero,ecECU,2.0,Leverkusen,22,2002,29.7,8,0,0,26,43,0,36,32,40,,,1,Matches
Hložek Adam,czCZE,3.5,Hoffenheim,22,2002,20.8,2,0,0,16,30,6,20,4,11,,,0,Matches
Höfler Nicolas,deGER,3.0,Freiburg,34,1990,8.8,3,0,0,12,5,0,1,14,22,,,0,Matches
Hofmann Jonas,deGER,3.0,Leverkusen,32,1992,4.0,1,0,0,1,9,0,5,0,0,,,0,Matches
Hofmann Philipp,deGER,4.0,Bochum,31,1993,25.3,4,0,0,36,31,4,10,5,12,,,0,Matches
Höler Lucas,deGER,3.5,Freiburg,30,1994,20.7,3,0,0,31,30,8,14,6,24,,,0,Matches
Hollerbach Benedict,deGER,3.5,Union Berlin,23,2001,28.2,3,0,0,43,45,17,73,3,20,,,0,Matches
Holtby Lewis,deGER,3.0,Holstein Kiel,33,1990,13.8,1,1,0,13,23,0,46,19,19,,,0,Matches
Holtmann Gerrit,phPHI,2.4,Bochum,29,1995,12.6,2,0,0,26,7,4,90,16,18,,,0,Matches
Honorat Franck,frFRA,3.0,Gladbach,27,1996,16.0,0,0,0,7,5,8,123,5,6,,,0,Matches
Honsak Mathias,atAUT,3.4,Heidenheim,27,1996,13.1,1,0,0,14,13,2,47,9,9,,,0,Matches
Horn Timo,deGER,1.0,Bochum,31,1993,13.0,2,0,0,0,2,0,0,0,0,,,0,Matches
Hrádecký Lukáš,fiFIN,1.0,Leverkusen,34,1989,29.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Hranáč Robin,czCZE,2.0,Hoffenheim,24,2000,2.4,0,0,0,5,0,0,0,5,0,,,0,Matches
Hyunseok Hong,krKOR,3.0,Mainz 05,25,1999,5.9,0,0,0,3,8,1,4,7,3,,,0,Matches
Højlund Oscar,dkDEN,3.0,Eintracht Frankfurt,19,2005,8.0,0,0,0,12,3,0,1,5,12,,,0,Matches
Ibrahimović Arijon,deGER,3.0,Bayern Munich,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Ilic Andrej,rsSRB,4.0,Union Berlin,24,2000,10.4,1,0,0,14,8,8,3,3,2,,,0,Matches
