player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Tahiri Anas,beBEL,3.0,Heerenveen,28,1995,12.9,,6,,,,,,,,,,,4,,,,Matches
Tahirovic Benjamin,baBIH,3.0,Ajax,20,2003,18.5,,26,,,,,,,,,,,27,,,,Matches
Takidine Ilias,beBEL,4.0,RKC Waalwijk,22,2001,1.0,,1,,,,,,,,,,,1,,,,Matches
Tavsan Elayis,nlNED,3.0,NEC Nijmegen,22,2001,3.8,,3,,,,,,,,,,,0,,,,Matches
Taylor Kenneth,nlNED,3.0,Ajax,21,2002,30.6,,26,,,,,,,,,,,24,,,,Matches
Tengstedt Søren,dkDEN,3.4,Go Ahead Eagles,23,2000,4.5,,8,,,,,,,,,,,1,,,,Matches
ter Avest Hidde,nlNED,2.0,Utrecht,26,1997,22.9,,23,,,,,,,,,,,22,,,,Matches
Teze Jordan,nlNED,2.0,PSV,23,1999,27.6,,27,,,,,,,,,,,15,,,,Matches
Thomas Ryan,nzNZL,3.0,Zwolle,28,1994,3.7,,9,,,,,,,,,,,6,,,,Matches
Thy Lennart,deGER,3.5,Zwolle,31,1992,29.7,,9,,,,,,,,,,,10,,,,Matches
Tielemans Mathijs,nlNED,3.0,Vitesse,21,2002,18.6,,21,,,,,,,,,,,24,,,,Matches
Til Guus,nlNED,3.0,PSV,25,1997,22.6,,9,,,,,,,,,,,10,,,,Matches
Tillman Malik,usUSA,3.4,PSV,21,2002,17.7,,21,,,,,,,,,,,11,,,,Matches
Timber Quinten,nlNED,3.0,Feyenoord,22,2001,29.6,,41,,,,,,,,,,,13,,,,Matches
Tjoe-A-On Nathan,idIDN,2.0,Heerenveen,21,2001,0.2,,1,,,,,,,,,,,0,,,,Matches
Toornstra Jens,nlNED,3.0,Utrecht,34,1989,19.8,,26,,,,,,,,,,,13,,,,Matches
Trauner Gernot,atAUT,2.0,Feyenoord,31,1992,15.1,,20,,,,,,,,,,,21,,,,Matches
Twigt Calvin,nlNED,3.0,Volendam,20,2003,22.7,,25,,,,,,,,,,,18,,,,Matches
Tytoń Przemysław,plPOL,1.0,Twente,36,1987,2.0,,0,,,,,,,,,,,0,,,,Matches
Uddenäs Oscar,seSWE,3.4,Excelsior,20,2002,5.2,,6,,,,,,,,,,,2,,,,Matches
Udenhout Jeremy,nlNED,3.0,Excelsior,20,2003,0.1,,0,,,,,,,,,,,0,,,,Matches
Ueda Ayase,jpJPN,4.0,Feyenoord,24,1998,9.3,,4,,,,,,,,,,,0,,,,Matches
Ugalde Manfred,crCRC,4.0,Twente,21,2002,15.2,,10,,,,,,,,,,,1,,,,Matches
Uneken Jesper,nlNED,4.0,PSV,18,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Unnerstall Lars,deGER,1.0,Twente,33,1990,32.0,,0,,,,,,,,,,,0,,,,Matches
Ünüvar Naci,nlNED,3.0,Twente,20,2003,5.6,,4,,,,,,,,,,,2,,,,Matches
Vaessen Etienne,srSUR,1.0,RKC Waalwijk,28,1995,29.4,,1,,,,,,,,,,,0,,,,Matches
Van Axel Dongen Amourrichio,nlNED,4.0,Ajax,18,2004,0.6,,0,,,,,,,,,,,1,,,,Matches
Van Den Berg Dave,nlNED,3.0,Zwolle,23,2000,28.4,,44,,,,,,,,,,,24,,,,Matches
Van den Buijs Dario,beBEL,2.0,RKC Waalwijk,27,1995,28.9,,27,,,,,,,,,,,22,,,,Matches
Van Duiven Jason,nlNED,4.0,Almere City,18,2005,3.2,,1,,,,,,,,,,,0,,,,Matches
Van Hoorenbeeck Alec,beBEL,2.0,Twente,24,1998,5.8,,4,,,,,,,,,,,5,,,,Matches
Van Ottele Syb,nlNED,2.3,Heerenveen,21,2002,15.9,,21,,,,,,,,,,,22,,,,Matches
Veerman Joey,nlNED,3.0,PSV,24,1998,26.5,,45,,,,,,,,,,,17,,,,Matches
Vejinović Marko,nlNED,3.0,Heracles Almelo,33,1990,13.7,,27,,,,,,,,,,,15,,,,Matches
Velanas Odysseus,nlNED,3.0,Zwolle,25,1998,23.8,,17,,,,,,,,,,,8,,,,Matches
Vellios Apostolos,grGRE,4.0,Zwolle,31,1992,8.1,,2,,,,,,,,,,,0,,,,Matches
Velthuis Tijs,nlNED,2.0,Sparta Rotterdam,21,2002,19.6,,21,,,,,,,,,,,6,,,,Matches
Verdonk Calvin,idIDN,2.0,NEC Nijmegen,26,1997,31.7,,73,,,,,,,,,,,40,,,,Matches
Verhulst Hobie,nlNED,1.0,AZ Alkmaar,30,1993,1.0,,0,,,,,,,,,,,0,,,,Matches
Verrips Michael,nlNED,1.0,Fortuna Sittard,26,1996,12.0,,0,,,,,,,,,,,0,,,,Matches
Verschueren Arno,beBEL,3.0,Sparta Rotterdam,26,1997,26.3,,38,,,,,,,,,,,17,,,,Matches
Vertessen Yorbe,beBEL,3.5,PSV,22,2001,4.9,,6,,,,,,,,,,,2,,,,Matches
Vesterlund Niklas,dkDEN,2.0,Utrecht,24,1999,3.0,,4,,,,,,,,,,,1,,,,Matches
Viergever Nick,nlNED,2.0,Utrecht,33,1989,22.8,,17,,,,,,,,,,,13,,,,Matches
Visser Andy,nlNED,4.0,Vitesse,18,2004,2.7,,0,,,,,,,,,,,0,,,,Matches
Vita Rémy,kmCOM,2.3,Fortuna Sittard,22,2001,6.6,,17,,,,,,,,,,,12,,,,Matches
Vlap Michel,nlNED,3.4,Twente,26,1997,21.9,,14,,,,,,,,,,,14,,,,Matches
Voelkerling Persson Joel,seSWE,4.0,Vitesse,20,2003,3.3,,1,,,,,,,,,,,0,,,,Matches
Voet Siemen,beBEL,2.3,Fortuna Sittard,23,2000,10.9,,17,,,,,,,,,,,19,,,,Matches
Vos Silvano,nlNED,3.0,Ajax,18,2005,3.9,,5,,,,,,,,,,,12,,,,Matches
Vriends Bart,nlNED,2.0,Sparta Rotterdam,32,1991,24.5,,19,,,,,,,,,,,29,,,,Matches
Vroegh Patrick,nlNED,3.0,RKC Waalwijk,23,1999,0.2,,0,,,,,,,,,,,0,,,,Matches
Wålemark Patrik,seSWE,3.4,Heerenveen,21,2001,13.8,,16,,,,,,,,,,,7,,,,Matches
Warmerdam Django,nlNED,2.0,Sparta Rotterdam,27,1995,9.9,,12,,,,,,,,,,,11,,,,Matches
Waterman Boy,nlNED,1.0,PSV,39,1984,0.1,,0,,,,,,,,,,,0,,,,Matches
Webster Charlie,engENG,3.0,Heerenveen,19,2004,2.6,,6,,,,,,,,,,,3,,,,Matches
Wehmeyer Lasse,deGER,3.0,Heracles Almelo,20,2002,1.9,,0,,,,,,,,,,,1,,,,Matches
Weidmann Daouda,ciCIV,3.0,RKC Waalwijk,20,2003,0.3,,0,,,,,,,,,,,1,,,,Matches
Wellenreuther Timon,deGER,1.0,Feyenoord,27,1995,17.8,,0,,,,,,,,,,,0,,,,Matches
Wermeskerken Sai,jpJPN,2.0,NEC Nijmegen,29,1994,1.8,,3,,,,,,,,,,,4,,,,Matches
Widell Casper,seSWE,2.0,Excelsior,20,2003,25.8,,11,,,,,,,,,,,33,,,,Matches
Wieckhoff Jannes,deGER,2.0,Heracles Almelo,22,2000,15.1,,24,,,,,,,,,,,13,,,,Matches
Wieffer Mats,nlNED,3.0,Feyenoord,23,1999,28.8,,43,,,,,,,,,,,47,,,,Matches
Wijndal Owen,nlNED,2.0,Ajax,23,1999,0.5,,1,,,,,,,,,,,1,,,,Matches
Willems Jetro,nlNED,2.0,Heracles Almelo,29,1994,11.9,,11,,,,,,,,,,,10,,,,Matches
Wit Dani,nlNED,3.0,AZ Alkmaar,25,1998,27.9,,23,,,,,,,,,,,16,,,,Matches
Wit Mees,nlNED,2.0,AZ Alkmaar,25,1998,4.6,,7,,,,,,,,,,,1,,,,Matches
Wittek Maximilian,deGER,2.0,Vitesse,27,1995,1.0,,1,,,,,,,,,,,1,,,,Matches
Witteveen Melle,nlNED,3.0,Heerenveen,20,2003,0.8,,0,,,,,,,,,,,1,,,,Matches
Wolfswinkel Ricky,nlNED,3.5,Twente,34,1989,21.0,,15,,,,,,,,,,,9,,,,Matches
Yaakoubi Redouan,nlNED,2.3,Excelsior,27,1996,25.1,,29,,,,,,,,,,,31,,,,Matches
Yuksel Mehmet,nlNED,4.0,Sparta Rotterdam,21,2001,0.1,,1,,,,,,,,,,,0,,,,Matches
Zagre Arthur,frFRA,2.0,Excelsior,21,2001,25.7,,52,,,,,,,,,,,43,,,,Matches
Zechiël Gjivai,nlNED,3.0,Feyenoord,19,2004,0.3,,0,,,,,,,,,,,0,,,,Matches
Zeefuik Lequincio,nlNED,4.0,AZ Alkmaar,18,2004,0.7,,1,,,,,,,,,,,0,,,,Matches
Zeefuik Lequincio,nlNED,3.5,Volendam,18,2004,8.6,,4,,,,,,,,,,,1,,,,Matches
Zerrouki Ramiz,dzALG,3.0,Feyenoord,25,1998,15.4,,23,,,,,,,,,,,15,,,,Matches
Zwam Giovanni,nlNED,2.0,Vitesse,19,2004,5.5,,11,,,,,,,,,,,6,,,,Matches
Þór Willumsson Willum,isISL,3.0,Go Ahead Eagles,24,1998,29.7,,20,,,,,,,,,,,13,,,,Matches
