player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Doku Jeremy,beBEL,3.4,Rennes,19,2002,5.2,,4,,,,,,,,,,,3,,,,Matches
Dolberg Kasper,dkDEN,4.0,Nice,23,1997,16.6,,4,,,,,,,,,,,7,,,,Matches
Domingues Brandon,frFRA,3.0,Troyes,21,2000,2.6,,2,,,,,,,,,,,3,,,,Matches
Donis Anastasios,grGRE,3.4,Reims,24,1996,4.1,,6,,,,,,,,,,,0,,,,Matches
Donnarumma Gianluigi,itITA,1.0,Paris Saint-Germain,22,1999,17.0,,0,,,,,,,,,,,0,,,,Matches
Dossou Jodel,bjBEN,3.4,Clermont Foot,29,1992,22.3,,17,,,,,,,,,,,7,,,,Matches
Doucet Lohann,frFRA,3.0,Nantes,18,2002,0.1,,0,,,,,,,,,,,1,,,,Matches
Doucouré Cheick,mlMLI,3.0,Lens,21,2000,32.7,,41,,,,,,,,,,,63,,,,Matches
Doucouré Fodé,mlMLI,2.0,Reims,20,2001,1.7,,10,,,,,,,,,,,4,,,,Matches
Doukouré Ismaël,frFRA,2.3,Strasbourg,18,2003,0.2,,0,,,,,,,,,,,0,,,,Matches
Doumbia Kamory,mlMLI,3.0,Reims,18,2003,3.9,,2,,,,,,,,,,,4,,,,Matches
Doumbia Moussa,mlMLI,3.0,Reims,26,1994,1.0,,0,,,,,,,,,,,0,,,,Matches
Doumbia Souleyman,ciCIV,2.4,Angers,24,1996,24.7,,20,,,,,,,,,,,38,,,,Matches
Draxler Julian,deGER,3.5,Paris Saint-Germain,27,1993,6.1,,2,,,,,,,,,,,6,,,,Matches
Dreyer Matthieu,frFRA,1.0,Lorient,32,1989,16.0,,1,,,,,,,,,,,0,,,,Matches
Dubois Leo,frFRA,2.3,Lyon,26,1994,19.4,,30,,,,,,,,,,,20,,,,Matches
Duverne Jean-Kevin,htHAI,2.0,Brest,24,1997,33.4,,40,,,,,,,,,,,53,,,,Matches
Ebosse Enzo,cmCMR,2.3,Angers,22,1999,21.0,,16,,,,,,,,,,,15,,,,Matches
Ekitike Hugo,frFRA,4.0,Reims,19,2002,14.1,,10,,,,,,,,,,,6,,,,Matches
Elis Alberth,hnHON,3.5,Bordeaux,25,1996,15.7,,8,,,,,,,,,,,7,,,,Matches
Emond Renaud,beBEL,3.4,Nantes,29,1991,2.1,,0,,,,,,,,,,,0,,,,Matches
Estève Maxime,frFRA,2.0,Montpellier,19,2002,20.6,,18,,,,,,,,,,,22,,,,Matches
Fábio,brBRA,2.3,Nantes,31,1990,18.5,,39,,,,,,,,,,,35,,,,Matches
Fàbregas Cesc,esESP,3.5,Monaco,34,1987,0.4,,0,,,,,,,,,,,1,,,,Matches
Faes Wout,beBEL,2.0,Reims,23,1998,37.0,,25,,,,,,,,,,,52,,,,Matches
Faivre Romain,frFRA,3.0,Lyon,23,1998,9.9,,5,,,,,,,,,,,3,,,,Matches
Faivre Romain,frFRA,3.0,Brest,23,1998,19.9,,16,,,,,,,,,,,11,,,,Matches
Faríñez Wuilker,veVEN,1.0,Lens,23,1998,12.3,,0,,,,,,,,,,,0,,,,Matches
Fatar Noah,frFRA,4.0,Angers,19,2002,0.1,,0,,,,,,,,,,,1,,,,Matches
Faussurier Julien,frFRA,2.4,Brest,34,1987,5.4,,6,,,,,,,,,,,4,,,,Matches
Ferri Jordan,frFRA,3.0,Montpellier,29,1992,32.3,,37,,,,,,,,,,,31,,,,Matches
Fila Karol,plPOL,2.3,Strasbourg,23,1998,6.2,,8,,,,,,,,,,,3,,,,Matches
Flips Alexis,frFRA,3.0,Reims,21,2000,11.7,,23,,,,,,,,,,,22,,,,Matches
Fofana Mamadou,mlMLI,2.3,Metz,23,1998,0.4,,1,,,,,,,,,,,1,,,,Matches
Fofana Seko,ciCIV,3.0,Lens,26,1995,37.3,,18,,,,,,,,,,,26,,,,Matches
Fofana Youssouf,frFRA,3.0,Monaco,22,1999,24.3,,43,,,,,,,,,,,28,,,,Matches
Foket Thomas,beBEL,2.4,Reims,26,1994,24.8,,18,,,,,,,,,,,30,,,,Matches
Fontaine Thomas,mgMAD,2.0,Lorient,30,1991,1.9,,0,,,,,,,,,,,2,,,,Matches
Fonte José,ptPOR,2.0,Lille,37,1983,38.0,,15,,,,,,,,,,,43,,,,Matches
Fortes Steven,cvCPV,2.0,Lens,29,1992,1.0,,1,,,,,,,,,,,0,,,,Matches
Frankowski Przemysław,plPOL,3.0,Lens,26,1995,27.2,,39,,,,,,,,,,,27,,,,Matches
Fransérgio,brBRA,3.0,Bordeaux,30,1990,14.0,,10,,,,,,,,,,,22,,,,Matches
Fulgini Angelo,frFRA,3.4,Angers,24,1996,32.5,,26,,,,,,,,,,,17,,,,Matches
Gallon Gauthier,frFRA,1.0,Troyes,28,1993,31.0,,0,,,,,,,,,,,2,,,,Matches
Gameiro Kévin,frFRA,4.0,Strasbourg,34,1987,26.5,,13,,,,,,,,,,,5,,,,Matches
Gana Gueye Idrissa,snSEN,3.0,Paris Saint-Germain,31,1989,18.2,,37,,,,,,,,,,,24,,,,Matches
Ganago Ignatius,cmCMR,4.0,Lens,22,1999,11.4,,3,,,,,,,,,,,2,,,,Matches
Gassama Djeidi,frFRA,3.5,Paris Saint-Germain,17,2003,0.0,,0,,,,,,,,,,,0,,,,Matches
Gastien Johan,frFRA,3.0,Clermont Foot,33,1988,30.5,,34,,,,,,,,,,,53,,,,Matches
Germain Valère,frFRA,4.0,Montpellier,31,1990,21.9,,14,,,,,,,,,,,8,,,,Matches
Gerson,brBRA,3.4,Marseille,24,1997,28.3,,18,,,,,,,,,,,14,,,,Matches
