player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Chávez Jhoanner,ecECU,2.4,Lens,21,2002,5.3,1,0,0,10,4,3,13,5,5,,,0,Matches
Cherki Rayan,frFRA,3.4,Lyon,19,2003,19.1,0,0,0,10,31,2,71,7,15,,,0,Matches
Chevalier Lucas,frFRA,1.0,Lille,21,2001,33.0,1,0,0,1,7,0,0,0,0,,,0,Matches
Chirivella Pedro,esESP,3.0,Nantes,26,1997,28.8,5,0,0,26,22,2,29,31,28,,,0,Matches
Chotard Joris,frFRA,3.0,Montpellier,21,2001,28.7,5,0,0,30,18,0,33,42,50,,,0,Matches
Cissé Djaoui,frFRA,3.0,Rennes,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Cissoko Ibrahim,nlNED,3.0,Toulouse,20,2003,2.7,1,0,0,1,6,2,20,2,3,,,0,Matches
Claude-Maurice Alexis,frFRA,3.0,Nice,25,1998,5.6,1,0,0,16,8,1,26,5,5,,,0,Matches
Clauss Jonathan,frFRA,2.3,Marseille,30,1992,23.0,2,1,0,11,17,3,160,36,20,,,0,Matches
Coco Marcus,frFRA,2.4,Nantes,27,1996,16.5,2,0,0,23,27,0,45,21,29,,,0,Matches
Colin Maxime,frFRA,2.0,Metz,31,1991,20.4,3,0,0,11,8,0,34,22,26,,,0,Matches
Cömert Eray,chSUI,2.0,Nantes,25,1998,22.2,5,0,0,26,26,1,3,34,28,,,0,Matches
Confais Alois,frFRA,2.3,Le Havre,26,1996,0.1,0,0,0,0,0,0,1,0,2,,,0,Matches
Correa Joaquín,arARG,3.4,Marseille,28,1994,4.8,2,0,0,6,5,0,1,1,5,,,0,Matches
Cortés Oscar,coCOL,3.0,Lens,19,2003,0.5,0,0,0,0,1,1,2,0,0,,,0,Matches
Costa David,ptPOR,3.0,Lens,22,2001,16.6,3,0,0,12,23,0,77,15,10,,,0,Matches
Costa Logan,cvCPV,2.0,Toulouse,22,2001,29.4,6,0,0,38,10,1,13,24,24,,,0,Matches
Coudert Grégoire,frFRA,1.0,Brest,24,1999,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Coulibaly Mamadou,frFRA,3.0,Monaco,19,2004,1.3,0,0,0,3,2,0,1,0,4,,,0,Matches
Coulibaly Tanguy,frFRA,3.4,Montpellier,22,2001,6.9,2,0,0,12,14,0,9,2,10,,,0,Matches
Cozza Nicolas,frFRA,2.3,Nantes,24,1999,9.9,2,0,0,9,19,1,13,14,24,,,0,Matches
Dago Trévis,ciCIV,4.0,Lille,18,2005,0.3,1,0,0,2,1,0,1,1,0,,,0,Matches
Dallinga Thijs,nlNED,4.0,Toulouse,22,2000,27.9,6,0,0,38,45,20,14,4,14,,,0,Matches
Danso Kevin,atAUT,2.0,Lens,24,1998,29.5,6,0,0,24,48,2,3,23,16,,,0,Matches
Dante,brBRA,2.0,Nice,39,1983,31.6,5,1,0,42,17,0,10,35,30,,,0,Matches
Daou Raimane,kmCOM,2.0,Marseille,18,2004,0.3,0,0,0,2,0,0,0,0,1,,,0,Matches
Daramy Mohamed,dkDEN,3.5,Reims,21,2002,18.3,0,0,0,7,28,9,15,2,10,,,0,Matches
Dari Achraf,maMAR,2.0,Brest,24,1999,1.3,0,0,0,2,1,0,0,5,1,,,0,Matches
David Jonathan,caCAN,4.0,Lille,23,2000,29.2,4,0,0,29,54,13,2,9,17,,,0,Matches
De Smet Thibault,beBEL,2.3,Reims,25,1998,20.3,7,1,0,38,9,2,31,20,35,,,0,Matches
Del Castillo Romain,frFRA,3.4,Brest,27,1996,27.7,4,0,0,21,59,3,250,9,29,,,0,Matches
Delaine Thomas,frFRA,2.4,Strasbourg,31,1992,22.7,5,0,0,40,20,1,104,17,20,,,0,Matches
Delaye Sacha,frFRA,3.0,Montpellier,21,2002,1.4,1,0,0,5,1,0,3,0,2,,,0,Matches
Dembélé Karamoko,engENG,3.5,Brest,20,2003,0.2,0,0,0,0,1,0,1,0,0,,,0,Matches
Dembélé Ousmane,frFRA,3.5,Paris Saint-Germain,26,1997,16.7,0,0,0,7,27,6,99,5,14,,,0,Matches
Deminguet Jessy,frFRA,3.4,Strasbourg,25,1998,7.7,1,0,0,16,9,1,9,8,8,,,0,Matches
Descamps Rémy,frFRA,1.0,Nantes,27,1996,6.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Desler Mikkel,dkDEN,2.3,Toulouse,28,1995,17.2,2,0,0,17,20,1,30,18,11,,,0,Matches
Desmas Arthur,frFRA,1.0,Le Havre,29,1994,33.0,2,0,0,0,9,0,0,0,0,,,0,Matches
Diack Lamine,snSEN,3.0,Nantes,22,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Diakhon Mamadou,frFRA,4.0,Reims,17,2005,2.3,0,0,0,4,11,0,4,1,3,,,0,Matches
Diakité Bafodé,frFRA,2.0,Lille,22,2001,18.8,4,0,0,16,12,2,3,17,22,,,0,Matches
Diakité Ibrahim,gnGUI,2.0,Reims,19,2003,1.2,0,0,0,5,3,0,9,2,0,,,0,Matches
Diakité Oumar,ciCIV,4.0,Reims,19,2003,17.6,4,0,0,34,27,32,3,7,12,,,0,Matches
Diarra Habib,snSEN,3.4,Strasbourg,19,2004,25.6,3,0,0,40,42,1,22,15,24,,,0,Matches
Diarra Moussa,mlMLI,2.0,Toulouse,22,2000,15.5,5,0,0,22,18,0,16,19,11,,,0,Matches
Diatta Krépin,snSEN,2.4,Monaco,24,1999,13.4,2,0,0,18,24,1,39,15,21,,,0,Matches
