player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Destro Mattia,itITA,4.0,Empoli,31,1991,6.4,3,0,0,12,5,7,2,1,1,,,0,Matches
Deulofeu Gerard,esESP,4.0,Udinese,28,1994,13.5,1,0,0,8,11,8,59,2,5,,,0,Matches
Di Carmine Samuel,itITA,4.0,Cremonese,33,1988,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Di Francesco Federico,itITA,3.5,Lecce,28,1994,22.6,5,0,0,42,32,13,46,9,16,,,0,Matches
Di Gregorio Michele,itITA,1.0,Monza,25,1997,37.0,0,0,0,0,3,0,0,4,0,,,0,Matches
Di Lorenzo Giovanni,itITA,2.0,Napoli,28,1993,36.2,2,0,0,32,36,4,88,29,29,,,0,Matches
Di María Ángel,arARG,3.5,Juventus,34,1988,15.1,1,1,0,6,24,4,96,7,5,,,0,Matches
Dia Boulaye,snSEN,3.5,Salernitana,25,1996,28.0,4,0,0,28,43,13,6,8,5,,,0,Matches
Díaz Brahim,maMAR,3.0,Milan,22,1999,21.4,3,0,0,29,50,2,20,7,15,,,0,Matches
Dimarco Federico,itITA,2.4,Inter,24,1997,23.0,0,0,0,12,30,5,208,18,25,,,0,Matches
Djidji Koffi,ciCIV,2.0,Torino,29,1992,26.9,3,0,0,27,3,1,13,33,26,,,0,Matches
Djimsiti Berat,alALB,2.0,Atalanta,29,1993,20.0,3,0,0,15,8,0,0,39,20,,,0,Matches
Dodô,brBRA,2.0,Fiorentina,23,1998,25.9,5,1,1,28,39,0,61,24,22,,,0,Matches
Doig Josh,sctSCO,3.0,Hellas Verona,20,2002,15.0,1,0,0,14,7,2,46,11,8,,,0,Matches
Domínguez Nicolás,arARG,3.0,Bologna,24,1998,25.6,10,0,0,43,32,2,19,22,48,,,0,Matches
Donati Giulio,itITA,2.3,Monza,32,1990,4.7,4,2,1,7,5,0,9,5,2,,,0,Matches
Drągowski Bartłomiej,plPOL,1.0,Spezia,24,1997,32.7,1,0,0,0,6,0,0,1,0,,,0,Matches
Duda Ondrej,skSVK,3.0,Hellas Verona,27,1994,11.8,4,0,0,17,26,0,14,12,14,,,0,Matches
Dumfries Denzel,nlNED,3.0,Inter,26,1996,24.6,4,0,0,30,39,2,82,12,20,,,1,Matches
Duncan Alfred,ghGHA,3.0,Fiorentina,29,1993,12.3,3,0,0,26,12,1,26,8,10,,,0,Matches
Dybala Paulo,arARG,3.4,Roma,28,1993,19.3,5,0,0,10,56,5,84,7,4,,,0,Matches
Džeko Edin,baBIH,4.0,Inter,36,1986,19.2,3,0,0,27,24,10,23,4,3,,,0,Matches
Ebosele Festy,ieIRL,3.0,Udinese,19,2002,4.6,4,0,0,11,7,0,18,2,10,,,0,Matches
Ebosse Enzo,cmCMR,2.3,Udinese,23,1999,10.3,3,0,0,9,4,1,15,12,9,,,0,Matches
Ebuehi Tyronne,ngNGA,2.0,Empoli,26,1995,21.4,0,0,0,12,17,3,28,12,13,,,0,Matches
Éderson,brBRA,3.0,Atalanta,23,1999,24.6,4,0,0,28,43,0,15,34,37,,,0,Matches
Ehizibue Kingsley,nlNED,3.0,Udinese,27,1995,17.1,7,0,0,32,20,1,36,10,31,,,0,Matches
Ekdal Albin,seSWE,3.0,Spezia,33,1989,19.3,6,1,1,32,29,0,4,27,24,,,0,Matches
Ekong Emmanuel,seSWE,4.0,Empoli,20,2002,0.2,0,0,0,0,0,1,0,0,0,,,0,Matches
Ellertsson Mikael,isISL,3.0,Spezia,20,2002,1.9,3,0,0,6,3,0,3,2,2,,,0,Matches
Elmas Elif,mkMKD,3.4,Napoli,22,1999,18.1,5,0,0,22,14,4,31,8,17,,,0,Matches
Erlic Martin,hrCRO,2.0,Sassuolo,24,1998,25.9,2,0,0,22,12,0,2,28,17,,,1,Matches
Escalante Gonzalo,arARG,3.0,Cremonese,29,1993,6.2,0,1,0,6,5,0,1,10,8,,,0,Matches
Esposito Salvatore,itITA,3.0,Spezia,21,2000,10.8,5,1,1,11,25,2,53,12,12,,,0,Matches
Fagioli Nicolò,itITA,3.0,Juventus,21,2001,16.9,3,0,0,20,23,1,23,8,18,,,0,Matches
Falcone Wladimiro,itITA,1.0,Lecce,27,1995,38.0,2,0,0,1,5,0,0,2,0,,,0,Matches
Faraoni Davide,itITA,2.4,Hellas Verona,30,1991,16.5,7,0,0,21,11,4,38,14,23,,,0,Matches
Fazio Federico,arARG,2.0,Salernitana,35,1987,11.9,2,1,0,11,6,0,4,28,12,,,0,Matches
Fazzini Jacopo,itITA,3.0,Empoli,19,2003,9.2,4,0,0,20,13,0,12,7,17,,,0,Matches
Ferguson Lewis,sctSCO,3.0,Bologna,22,1999,25.7,4,0,0,50,41,6,13,16,26,,,0,Matches
Ferrari Alex,itITA,2.0,Sampdoria,28,1994,9.6,3,0,0,12,7,0,4,20,6,,,0,Matches
Ferrari Alex,itITA,2.0,Cremonese,28,1994,11.2,3,0,0,8,13,0,6,25,24,,,0,Matches
Ferrer Salvador,esESP,3.0,Spezia,24,1998,1.5,0,0,0,2,4,0,1,1,2,,,0,Matches
Fiorillo Vincenzo,itITA,1.0,Salernitana,32,1990,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Florenzi Alessandro,itITA,2.0,Milan,31,1991,2.3,1,0,0,2,1,0,22,4,3,,,0,Matches
Frattesi Davide,itITA,3.0,Sassuolo,22,1999,31.9,4,0,0,39,57,0,20,16,33,,,0,Matches
Gabbia Matteo,itITA,2.0,Milan,22,1999,6.8,2,0,0,8,1,0,2,4,9,,,0,Matches
Gabbiadini Manolo,itITA,3.5,Sampdoria,30,1991,26.2,6,0,0,41,67,13,27,6,15,,,0,Matches
Gaetano Gianluca,itITA,3.0,Napoli,22,2000,0.8,0,0,0,2,1,0,1,1,3,,,0,Matches
Gagliardini Roberto,itITA,3.0,Inter,28,1994,8.7,5,1,1,20,9,0,7,4,5,,,0,Matches
Gaich Adolfo,arARG,4.0,Hellas Verona,23,1999,8.1,2,0,0,17,13,4,0,4,4,,,1,Matches
