player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Cerofolini Michele,itITA,1.0,Fiorentina,23,1999,5.0,,0,,,,,,,,,,,1,,,,Matches
Chiesa Federico,itITA,3.4,Juventus,24,1997,9.5,,10,,,,,,,,,,,0,,,,Matches
Chiricheș Vlad,roROU,2.0,Cremonese,32,1989,10.9,,20,,,,,,,,,,,22,,,,Matches
Ciofani Daniel,itITA,4.0,Cremonese,37,1985,11.8,,3,,,,,,,,,,,2,,,,Matches
Cipot Tio,siSVN,3.0,Spezia,19,2003,1.5,,6,,,,,,,,,,,0,,,,Matches
Ciurria Patrick,itITA,3.0,Monza,27,1995,30.6,,18,,,,,,,,,,,5,,,,Matches
Cocetta Nicolò,itITA,2.0,Udinese,18,2003,0.4,,0,,,,,,,,,,,1,,,,Matches
Colley Omar,gmGAM,2.0,Sampdoria,29,1992,15.4,,10,,,,,,,,,,,23,,,,Matches
Colombo Lorenzo,itITA,4.0,Lecce,20,2002,16.8,,8,,,,,,,,,,,1,,,,Matches
Colpani Andrea,itITA,3.0,Monza,23,1999,10.5,,8,,,,,,,,,,,3,,,,Matches
Consigli Andrea,itITA,1.0,Sassuolo,35,1987,35.0,,0,,,,,,,,,,,0,,,,Matches
Conti Andrea,itITA,2.3,Sampdoria,28,1994,0.3,,0,,,,,,,,,,,0,,,,Matches
Coppola Diego,itITA,2.0,Hellas Verona,18,2003,13.1,,17,,,,,,,,,,,14,,,,Matches
Cordaz Alex,itITA,1.0,Inter,39,1983,0.3,,0,,,,,,,,,,,0,,,,Matches
Correa Joaquín,arARG,4.0,Inter,27,1994,10.6,,8,,,,,,,,,,,3,,,,Matches
Cortinovis Alessandro,itITA,3.0,Hellas Verona,21,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
Coulibaly Lassana,mlMLI,3.0,Salernitana,26,1996,32.1,,53,,,,,,,,,,,25,,,,Matches
Cragno Alessio,itITA,1.0,Monza,28,1994,1.0,,0,,,,,,,,,,,0,,,,Matches
Cristante Bryan,itITA,3.0,Roma,27,1995,32.6,,64,,,,,,,,,,,17,,,,Matches
Črnigoj Domen,siSVN,3.0,Salernitana,26,1995,3.3,,3,,,,,,,,,,,10,,,,Matches
Cuadrado Juan,coCOL,2.4,Juventus,34,1988,23.1,,33,,,,,,,,,,,25,,,,Matches
Cuisance Mickaël,frFRA,3.0,Sampdoria,22,1999,6.9,,12,,,,,,,,,,,4,,,,Matches
D'Alessandro Marco,itITA,3.0,Monza,31,1991,3.2,,5,,,,,,,,,,,1,,,,Matches
D'Ambrosio Danilo,itITA,2.0,Inter,33,1988,8.1,,19,,,,,,,,,,,10,,,,Matches
D'Andrea Luca,itITA,4.0,Sassuolo,17,2004,3.5,,0,,,,,,,,,,,1,,,,Matches
Daniliuc Flavius,atAUT,2.0,Salernitana,21,2001,24.4,,29,,,,,,,,,,,28,,,,Matches
Danilo,brBRA,2.0,Juventus,31,1991,35.4,,64,,,,,,,,,,,46,,,,Matches
Darmian Matteo,itITA,2.4,Inter,32,1989,22.5,,31,,,,,,,,,,,21,,,,Matches
David Cabal Juan,coCOL,2.0,Hellas Verona,21,2001,4.9,,6,,,,,,,,,,,13,,,,Matches
Dawidowicz Paweł,plPOL,2.0,Hellas Verona,27,1995,18.1,,30,,,,,,,,,,,23,,,,Matches
De Ketelaere Charles,beBEL,3.0,Milan,21,2001,12.4,,12,,,,,,,,,,,4,,,,Matches
De Luca Manuel,itITA,4.0,Sampdoria,24,1998,0.5,,0,,,,,,,,,,,0,,,,Matches
De Nipoti Tommaso,itITA,4.0,Atalanta,19,2003,0.0,,0,,,,,,,,,,,0,,,,Matches
De Sciglio Mattia,itITA,2.4,Juventus,29,1992,11.6,,8,,,,,,,,,,,3,,,,Matches
