Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
355,Bradley Locko,fr FRA,"MF,DF",Reims,19,2002,24,11,1011,11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Anthony Lopes,pt POR,GK,Lyon,30,1990,34,34,2982,33.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,25,pt POR,GK,Lyon,30,1990,34,34,2982,33.1,45,1.36,147,106,71.4,14,11,9,8,23.5,4,3,1,0,25.0,Matches,Ligue 1,2021-22
357,Pau López,es ESP,GK,Marseille,26,1994,29,29,2610,29.0,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,Ligue 1,2021-22,26,es ESP,GK,Marseille,26,1994,29,29,2610,29.0,29,1.00,82,57,69.5,15,6,8,10,34.5,4,4,0,0,0.0,Matches,Ligue 1,2021-22
358,Dion Lopy,sn SEN,MF,Reims,19,2002,26,19,1642,18.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Samuel Loric,fr FRA,MF,Lorient,21,2000,3,3,269,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Jordan Lotomba,ch SUI,DF,Nice,22,1998,30,19,1782,19.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Johaneko Louisjean,fr FRA,DF,Bordeaux,17,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Jean Lucas,br BRA,MF,Monaco,23,1998,28,18,1445,16.1,1,1,2,1,0,0,3,1,0.06,0.06,0.12,0.06,0.12,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Castello Lukeba,fr FRA,DF,Lyon,18,2002,24,24,2095,23.3,2,0,2,2,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Levi Lumeka,eng ENG,MF,Troyes,22,1998,5,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Deiver Machado,co COL,MF,Lens,27,1993,22,5,523,5.8,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Yvann Macon,fr FRA,"DF,MF",Saint-Étienne,22,1998,22,19,1529,17.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Louis Mafouta,cf CTA,FW,Metz,27,1994,15,5,525,5.8,2,0,2,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Hugo Magnetti,fr FRA,MF,Brest,23,1998,28,16,1463,16.3,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Yohann Magnin,fr FRA,"MF,DF",Clermont Foot,24,1997,24,19,1717,19.1,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Habib Maïga,ci CIV,MF,Metz,25,1996,17,16,1267,14.1,2,0,2,2,0,0,6,0,0.14,0.00,0.14,0.14,0.14,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Josh Maja,ng NGA,FW,Bordeaux,22,1998,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Abdul Majeed Waris,gh GHA,"MF,FW",Strasbourg,29,1991,15,2,327,3.6,2,0,2,2,0,0,1,0,0.55,0.00,0.55,0.55,0.55,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Lovro Majer,hr CRO,MF,Rennes,23,1998,29,21,1832,20.4,6,8,14,6,0,0,1,0,0.29,0.39,0.69,0.29,0.69,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Béni Makouana,cg CGO,FW,Montpellier,18,2002,23,1,322,3.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Vincent Manceau,fr FRA,DF,Angers,32,1989,28,25,2361,26.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Steve Mandanda,fr FRA,GK,Marseille,36,1985,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,27,fr FRA,GK,Marseille,36,1985,9,9,810,9.0,7,0.78,27,20,74.1,6,2,1,5,55.6,0,0,0,0,,Matches,Ligue 1,2021-22
377,Reinildo Mandava,mz MOZ,DF,Lille,27,1994,18,18,1524,16.9,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Anthony Mandrea,dz ALG,GK,Angers,24,1996,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,28,dz ALG,GK,Angers,24,1996,10,10,900,10.0,14,1.40,45,31,68.9,3,3,4,2,20.0,0,0,0,0,,Matches,Ligue 1,2021-22
379,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,30,1991,14,14,1179,13.1,1,0,1,1,0,0,9,0,0.08,0.00,0.08,0.08,0.08,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Thomas Mangani,fr FRA,MF,Angers,34,1987,33,25,2193,24.4,7,2,9,1,6,6,6,0,0.29,0.08,0.37,0.04,0.12,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Ricardo Mangas,pt POR,"DF,MF",Bordeaux,23,1998,29,27,2353,26.1,3,1,4,3,0,0,2,0,0.11,0.04,0.15,0.11,0.15,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Myziane Maolida,km COM,"FW,MF",Nice,22,1999,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Sekou Mara,fr FRA,FW,Bordeaux,19,2002,26,8,905,10.1,6,0,6,5,1,1,2,0,0.60,0.00,0.60,0.50,0.50,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Marcelo,br BRA,DF,Bordeaux,34,1987,11,11,898,10.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Marcelo,br BRA,DF,Lyon,34,1987,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Guillermo Maripán,cl CHI,DF,Monaco,27,1994,26,21,1832,20.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Marquinhos,br BRA,DF,Paris Saint-Germain,27,1994,32,32,2861,31.8,5,0,5,5,0,0,5,0,0.16,0.00,0.16,0.16,0.16,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jonas Martin,fr FRA,MF,Rennes,31,1990,29,24,2105,23.4,1,1,2,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Gelson Martins,pt POR,MF,Monaco,26,1995,32,24,1905,21.2,4,3,7,4,0,0,4,0,0.19,0.14,0.33,0.19,0.33,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Pape Matar Sarr,sn SEN,MF,Metz,18,2002,33,22,2129,23.7,1,3,4,1,0,0,7,0,0.04,0.13,0.17,0.04,0.17,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Eliot Matazo,be BEL,MF,Monaco,19,2002,18,8,790,8.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Chrislain Matsima,fr FRA,DF,Monaco,19,2002,7,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Azor Matusiwa,nl NED,MF,Reims,23,1998,29,29,2463,27.4,1,1,2,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
