player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,bps,value,was_home,transfers_in,transfers_out,opponent_team_id
140,10,0,0,0,0,0,0,0,0,4.0,1,356,1049,11
13,10,0,0,0,0,0,0,0,0,3.9,0,917,3243,3
199,10,0,0,0,0,0,0,0,0,3.9,1,332,1187,1
189,10,0,0,0,0,0,0,0,0,4.0,1,0,41,1
237,10,2,90,0,0,1,0,0,10,6.7,0,81509,179334,18
161,10,0,0,0,0,0,0,0,0,5.4,1,0,24,11
479,10,0,45,0,0,0,0,0,-8,4.4,0,80,187,19
58,10,2,90,0,0,0,0,0,14,4.9,0,1534,1429,12
661,10,2,76,0,0,1,0,0,2,8.6,1,122196,188311,2
378,10,0,0,0,0,0,0,0,0,3.8,1,20260,2934,2
372,10,8,90,0,0,1,0,2,31,5.8,1,1280,3748,2
689,10,0,0,0,0,0,0,0,0,4.4,0,661,2122,19
726,10,2,72,0,0,0,0,0,10,6.9,1,3941,2096,7
138,10,0,0,0,0,0,0,0,0,4.3,1,365,1219,11
34,10,0,0,0,0,0,0,0,0,4.0,0,0,411,12
516,10,2,90,0,0,0,0,0,9,5.8,1,1327,10931,14
226,10,7,90,0,0,1,0,0,26,5.1,0,17177,80694,18
745,10,0,0,0,0,0,0,0,0,4.0,1,195,72,7
618,10,0,0,0,0,0,0,0,0,4.8,1,90,200,15
2,10,0,0,0,0,0,0,0,0,4.2,0,423,2573,3
706,10,1,13,0,0,0,0,0,4,4.0,0,642,1317,6
99,10,0,0,0,0,0,0,0,0,4.4,0,0,1542,13
312,10,0,0,0,0,0,0,0,0,4.9,0,0,214,17
594,10,0,0,0,0,0,0,0,0,4.5,1,0,37,7
374,10,8,90,0,0,1,0,0,21,5.4,1,9055,24596,2
217,10,0,0,0,0,0,0,0,0,5.0,1,15501,23845,1
264,10,0,0,0,0,0,0,0,0,4.0,1,0,72,5
589,10,0,0,0,0,0,0,0,0,5.4,1,0,9,7
4,10,0,0,0,0,0,0,0,0,4.0,0,404,1352,3
206,10,1,8,0,0,0,0,0,0,4.7,1,462,524,1
201,10,0,0,0,0,0,0,0,0,5.4,1,0,72,1
429,10,0,0,0,0,0,0,0,0,4.8,1,155,267,4
687,10,0,0,0,0,0,0,0,0,4.4,0,414,741,13
715,10,0,0,0,0,0,0,0,0,4.0,1,301,1222,14
258,10,6,90,0,0,1,0,0,19,5.0,1,8939,15352,5
407,10,2,90,0,0,0,0,0,14,5.3,1,11750,6944,4
703,10,0,0,0,0,0,0,0,0,4.0,0,83,537,12
557,10,0,0,0,0,0,0,0,0,4.4,1,234,376,9
324,10,3,88,0,0,1,0,0,17,6.5,1,46655,18764,20
319,10,0,0,0,0,0,0,0,0,4.4,1,1957,1484,20
314,10,7,90,0,0,1,2,1,28,5.0,1,22843,6404,20
425,10,0,0,0,0,0,0,0,0,5.4,1,0,25,4
692,10,0,0,0,0,0,0,0,0,4.9,1,27,58,2
76,10,0,0,0,0,0,0,0,0,3.9,0,321,685,13
675,10,0,0,0,0,0,0,0,0,4.0,1,250,4860,14
384,10,3,90,0,0,1,0,0,11,7.6,1,114925,183741,2
620,10,0,0,0,0,0,0,0,0,4.5,1,80,341,15
114,10,0,0,0,0,0,0,0,0,3.9,0,479,1570,8
273,10,0,0,0,0,0,0,0,0,5.0,1,3128,7615,5
446,10,0,0,0,0,0,0,0,0,3.9,0,85,574,16
55,10,1,31,0,0,0,0,0,4,4.8,0,319,212,12
204,10,0,0,0,0,0,0,0,0,4.9,1,0,38,1
346,10,0,0,0,0,0,0,0,0,3.9,0,341,1614,6
261,10,6,90,0,0,1,0,0,22,4.5,1,28489,29866,5
489,10,8,76,1,0,0,0,1,25,6.1,0,19518,5916,19
221,10,0,0,0,0,0,0,0,0,4.4,0,202,879,18
421,10,1,1,0,0,0,0,0,3,6.3,1,81,3919,4
390,10,11,90,1,0,1,0,3,40,5.6,1,3113,189142,2
275,10,0,0,0,0,0,0,0,0,4.4,1,117,322,5
246,10,0,0,0,0,0,0,0,0,4.5,0,2354,2988,18
293,10,2,82,0,0,0,0,0,7,5.0,0,1710,3215,17
19,10,0,0,0,0,0,0,0,0,6.9,0,3893,23487,3
413,10,1,8,0,0,0,0,0,2,8.3,1,11848,7274,4
363,10,0,0,0,0,0,0,0,0,4.9,0,0,2668,6
747,10,0,0,0,0,0,0,0,0,4.0,1,0,0,15
399,10,0,0,0,0,0,0,0,0,5.3,1,0,3061,4
558,10,0,0,0,0,0,0,0,0,4.4,1,1002,1802,9
170,10,0,0,0,0,0,0,0,0,5.0,1,498,1735,11
518,10,0,0,0,0,0,0,0,0,5.4,1,0,153,14
397,10,0,0,0,0,0,0,0,0,6.5,1,0,67,2
564,10,0,0,0,0,0,0,0,0,4.4,1,0,442,9
530,10,0,0,0,0,0,0,0,0,4.0,1,91,504,9
711,10,0,0,0,0,0,0,0,0,4.5,0,46,76,3
393,10,0,0,0,0,0,0,0,0,4.3,1,743,376,2
284,10,0,0,0,0,0,0,0,0,5.4,1,4071,11240,5
493,10,1,59,0,0,0,0,0,6,4.9,0,30449,12140,6
309,10,0,0,0,0,0,0,0,0,4.5,0,0,1,17
263,10,0,0,0,0,0,0,0,0,3.9,1,570,2538,5
343,10,0,0,0,0,0,0,0,0,4.5,0,732,4166,6
515,10,8,90,1,0,0,0,1,30,7.3,1,5104,34286,14
360,10,0,0,0,0,0,0,0,0,4.5,0,0,42,6
381,10,10,90,1,0,1,0,2,31,14.2,1,11087,462905,2
380,10,0,0,0,0,0,0,0,0,3.9,1,252,902,2
681,10,2,90,0,0,0,0,0,4,7.3,0,66699,39837,16
249,10,9,90,1,0,1,0,3,44,7.4,0,41052,1531801,18
349,10,0,0,0,0,0,0,0,0,4.0,0,0,360,6
282,10,0,0,0,0,0,0,0,0,4.5,1,0,99,5
724,10,2,90,0,0,0,0,0,16,4.5,1,518,219,9
77,10,0,0,0,0,0,0,0,0,4.0,0,2373,7171,13
16,10,3,90,0,0,1,0,0,3,10.1,0,223126,72708,3
636,10,2,90,0,0,0,0,0,4,4.4,0,2878,1199,10
519,10,0,0,0,0,0,0,0,0,5.0,1,65,79,14
255,10,0,0,0,0,0,0,0,0,4.0,1,101,325,5
339,10,0,0,0,0,0,0,0,0,4.3,0,294,1973,6
470,10,2,90,0,0,0,5,0,14,4.0,1,52472,47156,1
46,10,0,0,0,0,0,0,0,0,4.0,0,0,732,12
186,10,0,0,0,0,0,0,0,0,4.4,1,74,194,1
506,10,3,90,0,0,0,0,0,15,5.3,1,2253,15573,14
148,10,6,90,0,0,1,0,0,29,4.4,1,3587,1301,11
533,10,0,0,0,0,0,0,0,0,4.0,1,16,49,9
741,10,0,0,0,0,0,0,0,0,4.5,0,1933,835,6
281,10,0,0,0,0,0,0,0,0,4.5,1,254,272,5
472,10,0,0,0,0,0,0,0,0,4.0,0,0,46,19
131,10,0,0,0,0,0,0,0,0,4.4,0,446,1699,8
659,10,1,11,0,0,0,0,0,3,4.4,1,254,2026,15
347,10,1,90,0,0,0,0,0,6,4.0,0,4872,61349,6
155,10,0,0,0,0,0,0,0,0,4.0,1,0,603,11
498,10,0,0,0,0,0,0,0,0,4.5,0,0,15,19
448,10,0,0,0,0,0,0,0,0,3.9,0,356,1805,16
39,10,1,15,0,0,0,0,0,2,4.3,0,774,2749,12
405,10,0,0,0,0,0,0,0,0,5.4,1,1087,2816,4
652,10,0,0,0,0,0,0,0,0,4.4,0,1915,9359,10
342,10,1,76,0,0,0,0,0,-9,4.5,0,2438,2197,6
581,10,0,0,0,0,0,0,0,0,6.9,1,68,245,7
147,10,0,0,0,0,0,0,0,0,4.5,1,0,15,11
159,10,0,0,0,0,0,0,0,0,5.8,1,31,40,11
601,10,0,0,0,0,0,0,0,0,4.0,1,0,1384,15
458,10,0,0,0,0,0,0,0,0,4.8,0,1381,4045,16
522,10,5,76,0,1,0,0,0,21,4.7,1,216,536,14
120,10,1,90,0,0,0,0,0,3,7.0,0,25628,6253,8
682,10,0,0,0,0,0,0,0,0,4.4,0,328,282,10
678,10,0,0,0,0,0,0,0,0,3.9,1,4721,4422,9
35,10,0,0,0,0,0,0,0,0,4.0,0,0,25,12
376,10,0,0,0,0,0,0,0,0,4.9,1,299,640,2
511,10,0,0,0,0,0,0,0,0,4.4,1,114,544,14
582,10,1,90,0,0,0,0,0,7,6.7,1,64102,438586,7
597,10,1,30,0,0,0,0,0,4,6.5,1,15198,234606,7
110,10,1,66,0,0,0,0,0,9,4.5,0,12370,3214,8
668,10,10,90,1,0,0,0,3,48,5.1,1,86068,32504,9
121,10,2,67,0,0,0,0,0,10,5.8,0,9854,3382,8
29,10,0,0,0,0,0,0,0,0,4.5,0,0,318,3
21,10,13,90,1,0,1,0,3,47,6.7,0,317296,42393,3
126,10,1,22,0,0,0,0,0,5,4.9,0,1029,768,8
152,10,0,0,0,0,0,0,0,0,4.4,1,38,1543,11
317,10,6,90,0,0,1,0,0,25,4.5,1,19624,62410,20
303,10,2,90,0,0,0,0,0,12,5.0,0,5666,13852,17
740,10,0,0,0,0,0,0,0,0,4.0,1,187,172,4
466,10,0,0,0,0,0,0,0,0,5.8,0,1492,2288,16
118,10,0,0,0,0,0,0,0,0,4.0,0,0,207,8
375,10,6,90,0,0,1,0,0,22,5.0,1,2140,2024,2
136,10,2,90,0,0,0,0,0,7,6.2,0,447198,38187,8
382,10,1,13,0,0,0,0,0,4,8.0,1,9073,72827,2
20,10,6,90,0,1,1,0,0,23,6.9,0,15471,3926,3
6,10,6,90,0,0,1,0,0,29,6.0,0,30644,155341,3
445,10,0,0,0,0,0,0,0,0,4.0,0,0,342,16
268,10,0,0,0,0,0,0,0,0,4.9,1,18,20,5
486,10,1,13,0,0,0,0,0,5,6.7,0,4718,47971,19
18,10,0,0,0,0,0,0,0,0,6.8,0,66,4138,3
332,10,0,0,0,0,0,0,0,0,5.0,1,5437,634,20
700,10,0,0,0,0,0,0,0,0,4.4,0,1991,5443,3
400,10,0,0,0,0,0,0,0,0,4.8,1,120,470,4
408,10,2,90,0,0,0,0,0,12,5.5,1,21499,18665,4
79,10,0,0,0,0,0,0,0,0,4.0,0,0,454,13
494,10,0,0,0,0,0,0,0,0,5.0,0,373,530,19
517,10,4,90,0,0,0,0,0,18,5.3,1,5595,41069,14
163,10,0,0,0,0,0,0,0,0,5.1,1,20,190,11
86,10,2,61,0,0,0,0,0,12,5.0,0,319,2931,13
731,10,3,71,0,0,1,0,0,6,6.0,1,1707,1281,20
